id,state,diet_need,meal_type,dish,calories,protein_g,carbs_g,fat_g,fiber_g,glycemic_index,sodium_level,cholesterol_impact,allergens,base_ingredients,diet_type,meat_type,instructions,exercise,warning
1,Himachal Pradesh,Weight Loss,Breakfast,Aktori (Light 0),280,18,35,8,9,Low,Low,Low,,"Local grains, legumes, herbs",Vegetarian,,Prepare using traditional Himachali ingredients adjusted for weight loss. Serve one balanced portion.,45 mins brisk walk,Watch portion size and allergies.
2,Himachal Pradesh,Weight Loss,Breakfast,Aktori (Zero Oil) + Skimmed Buttermilk,300,15,40,9,8,Low,Medium,Low,Dairy,"Buckwheat, Skimmed Milk",Vegetarian,,Cook pancake on a dry non-stick pan; use skimmed milk.,30 mins HIIT,Monitor energy levels
3,Himachal Pradesh,Weight Loss,Breakfast,Babru (Roasted 1),280,18,35,8,9,Low,Low,Low,Gluten,"Local grains, legumes, herbs",Vegetarian,,Prepare using traditional Himachali ingredients adjusted for weight loss. Serve one balanced portion.,45 mins brisk walk,Watch portion size and allergies.
4,Himachal Pradesh,Weight Loss,Breakfast,Barley (Jau) Roti + Chha (Buttermilk),300,15,40,9,8,Low,Medium,Low,"Gluten, Dairy","Barley, Buttermilk",Vegetarian,,Dry roast barley roti to keep fat low.,30 mins HIIT,Monitor energy levels
5,Himachal Pradesh,Weight Loss,Breakfast,Barley Roti + Skimmed Buttermilk,300,15,40,9,8,Low,Medium,Low,"Gluten, Dairy","Barley, Skimmed Milk",Vegetarian,,Dry roast roti and use fully skimmed milk.,30 mins HIIT,Monitor energy levels
6,Himachal Pradesh,Weight Loss,Breakfast,Bhey (High Protein 4),280,18,35,8,9,Low,Low,Low,,"Local grains, legumes, herbs",Vegetarian,,Prepare using traditional Himachali ingredients adjusted for weight loss. Serve one balanced portion.,45 mins brisk walk,Watch portion size and allergies.
7,Himachal Pradesh,Weight Loss,Breakfast,Kodra (Millet) Roti + Chha (Buttermilk),300,15,40,9,8,Low,Medium,Low,Dairy,"Finger Millet, Buttermilk",Vegetarian,,Dry roast the roti; use skimmed buttermilk.,30 mins HIIT,Monitor energy levels
8,Himachal Pradesh,Weight Loss,Breakfast,Kodra Roti (Salt Controlled 7),280,18,35,8,9,Low,Low,Low,Gluten,"Local grains, legumes, herbs",Vegetarian,,Prepare using traditional Himachali ingredients adjusted for weight loss. Serve one balanced portion.,45 mins brisk walk,Watch portion size and allergies.
9,Himachal Pradesh,Weight Loss,Breakfast,Madra (Fiber Rich 5),280,18,35,8,9,Low,Low,Low,,"Local grains, legumes, herbs",Vegetarian,,Prepare using traditional Himachali ingredients adjusted for weight loss. Serve one balanced portion.,45 mins brisk walk,Watch portion size and allergies.
10,Himachal Pradesh,Weight Loss,Breakfast,Makki Ki Roti (Dry) + Mint Chutney,300,15,40,9,8,Medium,Medium,Low,,"Maize Flour, Mint",Vegetarian,,Dry roast the roti without ghee or butter.,30 mins HIIT,Monitor energy levels
