id,state,diet_need,meal_type,dish,calories,protein_g,carbs_g,fat_g,fiber_g,glycemic_index,sodium_level,cholesterol_impact,allergens,base_ingredients,diet_type,meat_type,instructions,exercise,warning
1,Uttar Pradesh,Weight Loss,Breakfast,Besan Cheela,240,12,32,6,7,Low,Medium,Low,,"Gram flour, Onion, Green chili",Vegetarian,,Use a non-stick pan to cook with only a few drops of oil.,30 mins HIIT,Great for protein but watch the oil usage.
2,Uttar Pradesh,Weight Loss,Breakfast,Besan Cheela (Fresh),188,13,30,5,8,Medium,Medium,Medium,Gluten,"Gram flour, Onion, Green chili",Vegetarian,,Prepare besan cheela as a fresh version with minimal oil and no heavy toppings. Keep the serving small and pair it with fresh salad or clear soup.,30–45 mins brisk walking or cycling,Portion control is important; avoid fried add-ons. Contains gluten.
3,Uttar Pradesh,Weight Loss,Breakfast,Chura Matar (Minimal Salt),196,6,44,2,6,Medium,Medium,Medium,,"Flattened rice, Green peas",Vegetarian,,Prepare chura matar as a minimal salt version with minimal oil and no heavy toppings. Keep the serving small and pair it with fresh salad or clear soup.,30–45 mins brisk walking or cycling,Portion control is important; avoid fried add-ons.
4,Uttar Pradesh,Weight Loss,Breakfast,Chura Matar (No Oil),250,6,48,3,5,Medium,Medium,Low,,"Flattened rice, Green peas",Vegetarian,,Dry roast Chura and mix with steamed green peas.,40 mins jogging,Green peas provide protein to the carb-heavy Chura.
5,Uttar Pradesh,Weight Loss,Breakfast,Dalia (No Ghee),164,8,35,2,8,Low,Low,Low,"Gluten, Dairy","Broken wheat, Carrots, Peas",Vegetarian,,Prepare dalia as a no ghee version with minimal oil and no heavy toppings. Keep the serving small and pair it with fresh salad or clear soup.,30–45 mins brisk walking or cycling,"Portion control is important; avoid fried add-ons. Contains gluten, dairy."
6,Uttar Pradesh,Weight Loss,Breakfast,Dalia (Savoury),210,8,38,3,7,Low,Low,Low,Gluten,"Broken wheat, Carrots, Peas",Vegetarian,,Cook with mixed vegetables to increase volume and fiber.,40 mins cardio,High satiety breakfast for slow energy release.
7,Uttar Pradesh,Weight Loss,Breakfast,Fara (Half Portion),249,15,50,3,9,Medium,Medium,Medium,Gluten,"Rice flour, Chana dal",Vegetarian,,Prepare fara as a half portion version with minimal oil and no heavy toppings. Keep the serving small and pair it with fresh salad or clear soup.,30–45 mins brisk walking or cycling,Portion control is important; avoid fried add-ons. Contains gluten.
8,Uttar Pradesh,Weight Loss,Breakfast,Fara (No Oil),116,10,20,1,7,Low,Low,Low,,"Rice flour, Chana dal, Ginger, Cumin",Vegetarian,,Prepare sprouted moong as a no oil version with minimal oil and no heavy toppings. Keep the serving small and pair it with fresh salad or clear soup.,30–45 mins brisk walking or cycling,Portion control is important; avoid fried add-ons.
9,Uttar Pradesh,Weight Loss,Breakfast,Jau Roti + Mint Chutney,230,8,42,2,9,Low,Medium,Low,Gluten,"Barley flour, Mint, Green chili",Vegetarian,,Make roti from pure barley flour; serve with fresh mint chutney.,45 mins walking,Barley helps flush out toxins and reduces bloating.
10,Uttar Pradesh,Weight Loss,Breakfast,Jau Roti + Mint Chutney (Unsweetened),180,8,39,2,10,Medium,Medium,Low,Gluten,"Barley flour, Mint, Green chili",Vegetarian,,Prepare jau roti + mint chutney as a unsweetened version with minimal oil and no heavy toppings. Keep the serving small and pair it with fresh salad or clear soup.,30–45 mins brisk walking or cycling,Portion control is important; avoid fried add-ons. Contains gluten.
11,Uttar Pradesh,Weight Loss,Breakfast,Moong Dal Cheela,230,14,30,4,6,Low,Medium,Low,,"Green gram, Onion, Coriander",Vegetarian,,Soak and grind moong dal; cook on a non-stick pan.,45 mins HIIT,High quality plant protein to start the day.
12,Uttar Pradesh,Weight Loss,Breakfast,Moong Dal Cheela (No Sev),181,15,28,3,7,Medium,Medium,Low,Gluten,"Green gram, Onion, Coriander",Vegetarian,,Prepare moong dal cheela as a no sev version with minimal oil and no heavy toppings. Keep the serving small and pair it with fresh salad or clear soup.,30–45 mins brisk walking or cycling,Portion control is important; avoid fried add-ons. Contains gluten.
