id,state,diet_need,meal_type,dish,calories,protein_g,carbs_g,fat_g,fiber_g,glycemic_index,sodium_level,cholesterol_impact,allergens,base_ingredients,diet_type,meat_type,instructions,exercise,warning
1,Bihar,Weight Loss,Breakfast,"Aloo Chokha (Boiled, Portion Controlled)",264,12,32,3,10,Low,Low,Low,,"boiled potato, onion, mustard oil, roasted red chilli, cumin",Vegetarian,,"Prepare this in its traditional Bihar style with the listed ingredients and tune oil, salt, or sugar to match the goal. Keep the serving size realistic for one meal.",20–30 min brisk walk or gentle yoga in the morning.,"Keep the portion small and avoid extra ghee, salt, or sugar."
2,Bihar,Weight Loss,Breakfast,"Baingan Chokha (Minimal Oil, Lemon Finish)",244,13,20,9,9,Low,Low,Low,,"roasted brinjal, tomato, garlic, mustard oil, green chilli",Vegetarian,,"Prepare this in its traditional Bihar style with the listed ingredients and tune oil, salt, or sugar to match the goal. Keep the serving size realistic for one meal.",20–30 min brisk walk or gentle yoga in the morning.,"Keep the portion small and avoid extra ghee, salt, or sugar."
3,Bihar,Weight Loss,Breakfast,Besan Chilla with Coriander Dip,170,9,26,3,4,Medium,Medium,Medium,Gluten,Gram Flour,Vegetarian,,"Prepare Besan Chilla with Coriander Dip in a home-style Bihar method using the listed ingredients. Adjust oil, salt, and sweetness according to the goal.",20–30 min brisk walk or gentle yoga in the morning.,"Contains gluten. Keep the portion small and avoid extra ghee, salt, or sugar."
4,Bihar,Weight Loss,Breakfast,"Chana Ghugni (Lean, No Fried Garnish)",278,10,25,1,10,Medium,Medium,Medium,,"black chickpeas, onion, tomato, ginger, cumin, coriander",Vegetarian,,"Prepare this in its traditional Bihar style with the listed ingredients and tune oil, salt, or sugar to match the goal. Keep the serving size realistic for one meal.",20–30 min brisk walk or gentle yoga in the morning.,"Keep the portion small and avoid extra ghee, salt, or sugar."
5,Bihar,Weight Loss,Breakfast,"Chura Matar (Low-Salt, High-Fibre)",180,11,22,1,7,Medium,Medium,Medium,,"flattened rice, green peas, onion, cumin, mustard oil",Vegetarian,,"Prepare this in its traditional Bihar style with the listed ingredients and tune oil, salt, or sugar to match the goal. Keep the serving size realistic for one meal.",20–30 min brisk walk or gentle yoga in the morning.,"Keep the portion small and avoid extra ghee, salt, or sugar."
6,Bihar,Weight Loss,Breakfast,"Dal Pitha (Steamed, No Oil)",178,6,18,5,9,Medium,Medium,Medium,,"rice flour, chana dal, ginger, cumin, green chilli",Vegetarian,,Steam rice-flour pitha filled with spiced dal and avoid frying. Use minimal oil in the tempering and keep the filling light for the selected goal.,20–30 min brisk walk or gentle yoga in the morning.,"Keep the portion small and avoid extra ghee, salt, or sugar."
7,Bihar,Weight Loss,Breakfast,"Dhuska (Slow Cooked, Light)",207,9,50,17,2,Medium,Medium,Medium,,"rice flour, chana dal, cumin, green chilli, mustard oil",Vegetarian,,"Prepare this in its traditional Bihar style with the listed ingredients and tune oil, salt, or sugar to match the goal. Keep the serving size realistic for one meal.",20–30 min brisk walk or gentle yoga in the morning.,"Keep the portion small and avoid extra ghee, salt, or sugar."
8,Bihar,Weight Loss,Breakfast,"Kadhi Bari (No Sugar, No Ghee)",253,10,24,8,6,High,High,High,"Gluten, Dairy","besan, curd, cumin, mustard seeds, spices",Vegetarian,,"Prepare this in its traditional Bihar style with the listed ingredients and tune oil, salt, or sugar to match the goal. Keep the serving size realistic for one meal.",20–30 min brisk walk or gentle yoga in the morning.,"Contains gluten. Contains dairy. Keep the portion small and avoid extra ghee, salt, or sugar."
9,Bihar,Weight Loss,Breakfast,"Khichdi (Light Tadka, Small Portion)",206,11,31,4,8,High,High,High,,"rice, lentils, vegetables, cumin, turmeric",Vegetarian,,Cook rice and lentils slowly with vegetables and keep the oil low. Serve it plain or with controlled chokha depending on the goal.,20–30 min brisk walk or gentle yoga in the morning.,"Keep the portion small and avoid extra ghee, salt, or sugar."
10,Bihar,Weight Loss,Breakfast,Litti Chokha (With Roasted Chokha),195,11,23,8,8,High,High,High,Gluten,"whole wheat flour, sattu, brinjal, tomato, potato, garlic, mustard oil, spices",Vegetarian,,Use whole wheat litti stuffed with sattu and roast or bake it instead of deep-frying. Serve with local chokha and keep ghee/salt aligned with the chosen goal.,20–30 min brisk walk or gentle yoga in the morning.,"Contains gluten. Keep the portion small and avoid extra ghee, salt, or sugar."
