id,state,diet_need,meal_type,dish,calories,protein_g,carbs_g,fat_g,fiber_g,glycemic_index,sodium_level,cholesterol_impact,allergens,base_ingredients,diet_type,meat_type,instructions,exercise,warning
1,Maharashtra,Weight Loss,Breakfast,"Batata Poha (Steamed, with Seasonal Vegetables)",176,5,23,5,7,Low,Low,Low,Peanuts,"poha, onion, mustard seeds, curry leaves, green chilli, lemon, peanuts",Vegetarian,,"Use minimal oil, keep the portion small, and pair with vegetables or salad for fullness.",30 min brisk walk,Contains peanuts. Watch portion size.
2,Maharashtra,Weight Loss,Breakfast,"Chivda (Low Salt, with Moong)",179,7,22,4,8,Low,Low,Low,Peanuts,"flattened rice, peanuts, curry leaves, mustard seeds, spices",Vegetarian,,"Use minimal oil, keep the portion small, and pair with vegetables or salad for fullness.",30 min brisk walk,Contains peanuts. Watch portion size.
3,Maharashtra,Weight Loss,Breakfast,"Dadpe Pohe (Small Portion, with Jowar)",176,6,25,4,8,Low,Low,Low,Peanuts,"poha, onion, mustard seeds, curry leaves, green chilli, lemon, peanuts",Vegetarian,,"Use minimal oil, keep the portion small, and pair with vegetables or salad for fullness.",30 min brisk walk,Contains peanuts. Watch portion size.
4,Maharashtra,Weight Loss,Breakfast,"Ghavan (No Oil, with Jowar)",176,6,25,4,8,Low,Low,Low,Gluten,"rice flour, fenugreek leaves or ragi, cumin, curry leaves",Vegetarian,,"Use minimal oil, keep the portion small, and pair with vegetables or salad for fullness.",30 min brisk walk,Contains gluten. Watch portion size.
5,Maharashtra,Weight Loss,Breakfast,"Kanda Poha (Minimal Oil, with Moong)",182,5,25,4,7,Low,Low,Low,Peanuts,"poha, onion, mustard seeds, curry leaves, green chilli, lemon, peanuts",Vegetarian,,"Use minimal oil, keep the portion small, and pair with vegetables or salad for fullness.",30 min brisk walk,Contains peanuts. Watch portion size.
6,Maharashtra,Weight Loss,Breakfast,"Kanda Poha (No Oil, with Jowar)",185,5,22,5,6,Low,Low,Low,Peanuts,"poha, onion, mustard seeds, curry leaves, green chilli, lemon, peanuts",Vegetarian,,"Use minimal oil, keep the portion small, and pair with vegetables or salad for fullness.",30 min brisk walk,Contains peanuts. Watch portion size.
7,Maharashtra,Weight Loss,Breakfast,"Kothimbir Vadi (Low Salt, with Moong)",194,5,22,4,7,Low,Low,Low,"Peanuts, Sesame","coriander leaves, besan, sesame, peanuts, green chilli",Vegetarian,,"Use minimal oil, keep the portion small, and pair with vegetables or salad for fullness.",30 min brisk walk,Contains peanuts. Watch portion size.
8,Maharashtra,Weight Loss,Breakfast,"Methi Ghavan (Minimal Oil, with Moong)",194,5,22,4,8,Low,Low,Low,Gluten,"rice flour, fenugreek leaves or ragi, cumin, curry leaves",Vegetarian,,"Use minimal oil, keep the portion small, and pair with vegetables or salad for fullness.",30 min brisk walk,Contains gluten. Watch portion size.
9,Maharashtra,Weight Loss,Breakfast,Moong Dal Khichdi (No Ghee),300,15,40,8,6,Low,Medium,Low,,"Green Gram, Rice",Vegetarian,,Cook as a watery porridge without ghee.,30 mins HIIT,Monitor energy
10,Maharashtra,Weight Loss,Breakfast,"Panki (Steamed, with Seasonal Vegetables)",191,7,26,3,7,Low,Low,Low,Gluten,"rice flour, coconut, coriander, banana leaf",Vegetarian,,"Use minimal oil, keep the portion small, and pair with vegetables or salad for fullness.",30 min brisk walk,Contains gluten. Watch portion size.
