id,state,diet_need,meal_type,dish,calories,protein_g,carbs_g,fat_g,fiber_g,glycemic_index,sodium_level,cholesterol_impact,allergens,base_ingredients,diet_type,meat_type,instructions,exercise,warning
1,Manipur,Weight Loss,Breakfast,"A-nganba (Steamed Seasonal Vegetables, Dry Stir-Fry)",80,4,9,2,6,Medium,Medium,Low,,"seasonal vegetables, ginger, green chilli, water, maroi",Vegetarian,,Steam the vegetables until just tender and avoid heavy tempering. Keep the portion small and avoid fried accompaniments.,30 to 40 min brisk walk or cycling,Keep oil minimal and portions small; pair with vegetables or a walk after eating.
2,Manipur,Weight Loss,Breakfast,Cabbage and Pea Kangshoi,300,15,40,8,6,Low,Medium,Low,,"Cabbage, Peas, Herbs",Vegetarian,none,Boil vegetables into a clear soup without any oil or fat.,30 mins HIIT,Monitor energy levels; do not starve
3,Manipur,Weight Loss,Breakfast,Chak Hao Porridge (Unsweetened),300,15,40,8,6,Low,Medium,Low,,"Black Rice, Water",Vegetarian,none,Boil black rice until soft. Do not add sugar or jaggery.,30 mins HIIT,Monitor energy levels; do not starve
4,Manipur,Weight Loss,Breakfast,"Chamthong (Bottle Gourd & Beans, Steamed)",104,4,12,2,7,Low,Low,Low,,"bottle gourd, green beans, potato, ginger, maroi, green chilli, water",Vegetarian,,Simmer the vegetables gently with very little oil so the broth stays light. Keep the portion small and avoid fried accompaniments.,30 to 40 min brisk walk or cycling,Keep oil minimal and portions small; pair with vegetables or a walk after eating.
5,Manipur,Weight Loss,Breakfast,"Chamthong (Kangshoi, Seasonal Vegetables, No Oil)",105,4,13,3,7,Low,Low,Low,,"bottle gourd, beans, potato, spinach, ginger, maroi, green chilli, water",Vegetarian,,Simmer the vegetables gently with very little oil so the broth stays light. Keep the portion small and avoid fried accompaniments.,30 to 40 min brisk walk or cycling,Keep oil minimal and portions small; pair with vegetables or a walk after eating.
6,Manipur,Weight Loss,Breakfast,"Chamthong (Pumpkin & Spinach, Light Salt)",104,4,13,2,7,Low,Low,Low,,"pumpkin, spinach, beans, ginger, maroi, green chilli, water",Vegetarian,,Simmer the vegetables gently with very little oil so the broth stays light. Keep the portion small and avoid fried accompaniments.,30 to 40 min brisk walk or cycling,Keep oil minimal and portions small; pair with vegetables or a walk after eating.
7,Manipur,Weight Loss,Breakfast,"Kanghou (Mixed Vegetables, Dry Stir-Fry, Leaf-Wrapped)",125,4,13,6,6,Low,Low,Low,,"seasonal vegetables, mustard oil, ginger, green chilli, maroi",Vegetarian,,Dry-stir-fry the vegetables or protein with just enough oil to coat the pan. Keep the portion small and avoid fried accompaniments.,30 to 40 min brisk walk or cycling,Keep oil minimal and portions small; pair with vegetables or a walk after eating.
8,Manipur,Weight Loss,Breakfast,Manipuri Singju (Lotus Root),300,15,40,8,6,Low,Medium,Low,,"Lotus Root, Cabbage, Herbs",Vegetarian,none,Mix raw vegetables and herbs. Avoid roasted besan powder to cut carbs.,30 mins HIIT,Monitor energy levels; do not starve
9,Manipur,Weight Loss,Breakfast,"Ootti (Yellow Pea Stew, Thin Gravy)",146,8,19,3,8,Medium,Low,Low,,"yellow peas, ginger, turmeric, maroi, green chilli",Vegetarian,,Cook the peas into a soft stew and keep the seasoning simple. Keep the portion small and avoid fried accompaniments.,30 to 40 min brisk walk or cycling,Keep oil minimal and portions small; pair with vegetables or a walk after eating.
10,Manipur,Weight Loss,Breakfast,"Singju (Cabbage, Thoiding-Besan, Portion-Controlled)",92,6,13,3,7,Low,Low,Low,sesame,"cabbage, coriander, ginger, roasted perilla seeds, besan, chilli, lime",Vegetarian,,"Chop the vegetables finely and toss them fresh, keeping the condiment light and balanced. Keep the portion small and avoid fried accompaniments.",30 to 40 min brisk walk or cycling,Keep oil minimal and portions small; pair with vegetables or a walk after eating.
