id,state,diet_need,meal_type,meal_name,calories,protein_g,carbs_g,fat_g,fiber_g,glycemic_index,sodium_level,cholesterol_impact,allergens,base_ingredients,diet_type,meat_type,instructions,exercise_recommendation,medical_warning
1,Chhattisgarh,Weight Loss,Breakfast,"Angakar Roti (Thin, No Oil, bamboo shoot)",110,7,15,3,5,High,Low,Medium,"Sesame, sesame","rice flour, water, salt, cumin, sesame, bamboo shoot",Vegetarian,,"Prepare angakar roti in a thin, no oil, bamboo shoot style with minimal oil. Keep the portion small and avoid adding ghee or fried accompaniments.",30-45 min brisk walk or cycling,Keep the portion small and avoid extra ghee or fried sides. Contains sesame.
2,Chhattisgarh,Weight Loss,Breakfast,"Bafauri (Steamed, Light Tempering, bamboo shoot)",113,7,17,3,5,Medium,Medium,Medium,Safe,"chana dal, ginger, coriander, green chili, cumin, bamboo shoot",Vegetarian,,"Prepare bafauri in a steamed, light tempering, bamboo shoot style with minimal oil. Keep the portion small and avoid adding ghee or fried accompaniments.",30-45 min brisk walk or cycling,Keep the portion small and avoid extra ghee or fried sides.
3,Chhattisgarh,Weight Loss,Breakfast,"Bafauri (Thin, No Oil, pumpkin leaves)",113,7,15,3,5,Low,Low,Medium,Safe,"chana dal, ginger, coriander, green chili, cumin, pumpkin leaves",Vegetarian,,"Prepare bafauri in a thin, no oil, pumpkin leaves style with minimal oil. Keep the portion small and avoid adding ghee or fried accompaniments.",30-45 min brisk walk or cycling,Keep the portion small and avoid extra ghee or fried sides.
4,Chhattisgarh,Weight Loss,Breakfast,"Bara (Thin, No Oil, horse gram)",110,7,15,3,5,Low,Low,Medium,Safe,"urad dal, green chili, coriander, cumin, onion, horse gram",Vegetarian,,"Prepare bara in a thin, no oil, horse gram style with minimal oil. Keep the portion small and avoid adding ghee or fried accompaniments.",30-45 min brisk walk or cycling,Keep the portion small and avoid extra ghee or fried sides.
5,Chhattisgarh,Weight Loss,Breakfast,"Chila (Steamed, Light Tempering, pumpkin leaves)",117,7,17,3,5,Medium,Medium,Medium,Safe,"rice flour, water, cumin, coriander, green chili, pumpkin leaves",Vegetarian,,"Prepare chila in a steamed, light tempering, pumpkin leaves style with minimal oil. Keep the portion small and avoid adding ghee or fried accompaniments.",30-45 min brisk walk or cycling,Keep the portion small and avoid extra ghee or fried sides.
6,Chhattisgarh,Weight Loss,Breakfast,"Chila (Thin, No Oil, bottle gourd)",110,7,15,3,5,High,Low,Medium,Safe,"rice flour, water, cumin, coriander, green chili, bottle gourd",Vegetarian,,"Prepare chila in a thin, no oil, bottle gourd style with minimal oil. Keep the portion small and avoid adding ghee or fried accompaniments.",30-45 min brisk walk or cycling,Keep the portion small and avoid extra ghee or fried sides.
7,Chhattisgarh,Weight Loss,Breakfast,"Chousela Roti (Thin, No Oil, mushroom)",113,7,17,3,5,Medium,Medium,Medium,"Sesame, sesame","rice flour, water, salt, cumin, sesame, mushroom",Vegetarian,,"Prepare chousela roti in a thin, no oil, mushroom style with minimal oil. Keep the portion small and avoid adding ghee or fried accompaniments.",30-45 min brisk walk or cycling,Keep the portion small and avoid extra ghee or fried sides. Contains sesame.
8,Chhattisgarh,Weight Loss,Breakfast,"Faraa (Steamed, Light Tempering, ridge gourd)",110,7,15,3,5,High,Low,Medium,Safe,"rice flour, water, cumin, coriander, green chili, ridge gourd",Vegetarian,,"Prepare faraa in a steamed, light tempering, ridge gourd style with minimal oil. Keep the portion small and avoid adding ghee or fried accompaniments.",30-45 min brisk walk or cycling,Keep the portion small and avoid extra ghee or fried sides.
9,Chhattisgarh,Weight Loss,Breakfast,"Faraa (Thin, No Oil, spinach)",113,7,17,3,5,Medium,Medium,Medium,Safe,"rice flour, water, cumin, coriander, green chili, spinach",Vegetarian,,"Prepare faraa in a thin, no oil, spinach style with minimal oil. Keep the portion small and avoid adding ghee or fried accompaniments.",30-45 min brisk walk or cycling,Keep the portion small and avoid extra ghee or fried sides.
10,Chhattisgarh,Weight Loss,Breakfast,"Iddhar (Thin, No Oil, bottle gourd)",110,7,15,3,5,High,Low,Medium,Safe,"rice, cumin, coriander, seasonal vegetables, bottle gourd",Vegetarian,,"Prepare iddhar in a thin, no oil, bottle gourd style with minimal oil. Keep the portion small and avoid adding ghee or fried accompaniments.",30-45 min brisk walk or cycling,Keep the portion small and avoid extra ghee or fried sides.
