id,state,diet_need,meal_type,meal_name,calories,protein_g,carbs_g,fat_g,fiber_g,glycemic_index,sodium_level,cholesterol_impact,allergens,base_ingredients,diet_type,meat_type,instructions,exercise_recommendation,medical_warning
1,Jharkhand,Weight Loss,Breakfast,"Arsa (No Oil, Half Plate)",135,3,24,3,1,High,Low,Low,"Mustard, Rice, Sesame","rice flour,jaggery,sesame,mustard oil",Vegetarian,,Prepare the arsa with minimal oil and keep the portion small. Pair it with fresh chutney or lightly cooked greens instead of fried sides.,30–40 min brisk walk or cycling,Keep portions controlled and avoid extra ghee or fried sides. Common allergens: rice.
2,Jharkhand,Weight Loss,Breakfast,"Chana Dal Puri (No Oil, Small Portion)",146,7,24,5,5,Low,Low,Low,"Gluten, Legumes, Mustard","whole wheat flour,chana dal,spices,mustard oil",Vegetarian,,Prepare the chana dal puri with minimal oil and keep the portion small. Pair it with fresh chutney or lightly cooked greens instead of fried sides.,30–40 min brisk walk or cycling,"Keep portions controlled and avoid extra ghee or fried sides. Common allergens: gluten,legumes."
3,Jharkhand,Weight Loss,Breakfast,"Chilka Roti (Steamed, Portion Controlled)",107,5,19,3,3,High,Low,Low,"Legumes, Mustard","rice flour,besan,spices,mustard oil",Vegetarian,,Prepare the chilka roti with minimal oil and keep the portion small. Pair it with fresh chutney or lightly cooked greens instead of fried sides.,30–40 min brisk walk or cycling,Keep portions controlled and avoid extra ghee or fried sides. Common allergens: legumes.
4,Jharkhand,Weight Loss,Breakfast,Chilka Roti (Zero Oil) with Garlic Chutney,300,15,40,8,6,Medium,Medium,Low,Safe,"Rice, Chana Dal",Vegetarian,,Spread batter thinly on a non-stick pan without ghee or oil.,30 mins HIIT,Avoid if bloated
5,Jharkhand,Weight Loss,Breakfast,"Dhuska (Steamed, Small Portion)",127,6,20,5,3,High,Low,Low,"Legumes, Mustard, Rice","rice flour,urad dal,spices,mustard oil",Vegetarian,,Prepare the dhuska with minimal oil and keep the portion small. Pair it with fresh chutney or lightly cooked greens instead of fried sides.,30–40 min brisk walk or cycling,"Keep portions controlled and avoid extra ghee or fried sides. Common allergens: rice,legumes."
6,Jharkhand,Weight Loss,Breakfast,Gondli (Little Millet) Upma,300,15,40,8,7,Low,Medium,Low,Egg,"Little Millet, Mixed Veggies",Vegetarian,,Cook millet with vegetables using a zero-oil cooking spray.,30 mins HIIT,Monitor hydration
7,Jharkhand,Weight Loss,Breakfast,"Litti-Chokha (Steamed, Half Plate)",160,8,26,5,6,Low,Low,Low,"Gluten, Mustard","whole wheat flour,sattu,mustard oil,brinjal,tomato,potato,spices",Vegetarian,,Prepare the litti-chokha with minimal oil and keep the portion small. Pair it with fresh chutney or lightly cooked greens instead of fried sides.,30–40 min brisk walk or cycling,Keep portions controlled and avoid extra ghee or fried sides. Common allergens: gluten.
8,Jharkhand,Weight Loss,Breakfast,Marua (Ragi) Roti with Tomato Chokha,300,15,40,8,8,Low,Medium,Low,Safe,"Finger Millet, Tomato, Garlic",Vegetarian,,Dry roast the roti without oil. Mash roasted tomatoes with zero oil.,30 mins HIIT,Drink water to process fiber
9,Jharkhand,Weight Loss,Breakfast,"Mitha Pitha (No Oil, Light Serve)",127,4,26,3,2,Medium,Low,Low,"Rice, Sesame","rice flour,jaggery,coconut,sesame",Vegetarian,,Prepare the mitha pitha with minimal oil and keep the portion small. Pair it with fresh chutney or lightly cooked greens instead of fried sides.,30–40 min brisk walk or cycling,Keep portions controlled and avoid extra ghee or fried sides. Common allergens: rice.
10,Jharkhand,Weight Loss,Breakfast,Moong Dal Charpa (Leaf Steamed),300,15,40,8,6,Low,Medium,Low,Safe,"Moong Dal, Sal Leaves",Vegetarian,,Wrap the dal paste in Sal leaves and steam it. Zero added oil.,30 mins HIIT,Ensure leaves are clean
