id,state,diet_need,meal_type,dish,calories,protein_g,carbs_g,fat_g,fiber_g,glycemic_index,sodium_level,cholesterol_impact,allergens,base_ingredients,diet_type,meat_type,instructions,exercise,warning
1,Tripura,Weight Loss,Breakfast,"Awan Bangwi (Banana Leaf Steamed, No Oil)",151,6,43,0,4,Low,Low,Low,,"sticky rice, cashew, raisin, ginger, banana leaf",Vegetarian,,Prepare it with minimal oil and keep the serving small. Steam or wrap it in a banana leaf for a lighter finish. Avoid deep frying at every stage.,30 minutes brisk walking,Keep portions controlled and avoid extra servings.
2,Tripura,Weight Loss,Breakfast,"Awansok (Banana Leaf Steamed, No Oil)",207,4,37,1,5,Low,Low,Low,,"rice flour, water, ginger, banana leaf",Vegetarian,,Prepare it with minimal oil and keep the serving small. Steam or wrap it in a banana leaf for a lighter finish. Avoid deep frying at every stage.,30 minutes brisk walking,Keep portions controlled and avoid extra servings.
3,Tripura,Weight Loss,Breakfast,Awansok (Steamed Rice Cake) + Green Tea,210,5,42,2,4,Medium,Low,Low,,"Rice flour, water, green tea",Vegetarian,,Steam rice flour gently without oil; serve with antioxidant-rich green tea.,30 mins brisk walking,Monitor portion size to maintain caloric deficit.
4,Tripura,Weight Loss,Breakfast,"Bangui Rice (Banana Leaf Steamed, No Oil)",153,4,47,0,5,Low,Low,Low,,"rice, ginger, herbs, banana leaf",Vegetarian,,Prepare it with minimal oil and keep the serving small. Steam or wrap it in a banana leaf for a lighter finish. Avoid deep frying at every stage.,30 minutes brisk walking,Keep portions controlled and avoid extra servings.
5,Tripura,Weight Loss,Breakfast,"Bhangui (Banana Leaf Steamed, No Oil)",148,5,38,1,6,Low,Low,Low,,"rice, ginger, onion, banana leaf",Vegetarian,,Prepare it with minimal oil and keep the serving small. Steam or wrap it in a banana leaf for a lighter finish. Avoid deep frying at every stage.,30 minutes brisk walking,Keep portions controlled and avoid extra servings.
6,Tripura,Weight Loss,Breakfast,Boiled Sweet Potato + Green Tea,190,3,42,1,6,Medium,Low,Low,,"Sweet potato, green tea",Vegetarian,,Boil sweet potato with skin for maximum fiber.,30 mins HIIT,Eat with skin to lower the glycemic response.
7,Tripura,Weight Loss,Breakfast,Brown Rice Flakes + Green Tea,210,5,42,2,4,Low,Low,Low,,"Brown rice flakes, green tea",Vegetarian,,Soak flakes in hot water; drink green tea.,30 mins walking,High fiber start.
8,Tripura,Weight Loss,Breakfast,"Chauk (Banana Leaf Steamed, No Oil)",185,5,55,0,6,Low,Low,Low,,"rice flour, jaggery, coconut",Vegetarian,,Prepare it with minimal oil and keep the serving small. Steam or wrap it in a banana leaf for a lighter finish. Avoid deep frying at every stage.,30 minutes brisk walking,Keep portions controlled and avoid extra servings.
9,Tripura,Weight Loss,Breakfast,"Chitoi Pitha (Banana Leaf Steamed, No Oil)",217,7,44,0,6,Low,Low,Low,,"rice flour, water, salt",Vegetarian,,Prepare it with minimal oil and keep the serving small. Steam or wrap it in a banana leaf for a lighter finish. Avoid deep frying at every stage.,30 minutes brisk walking,Keep portions controlled and avoid extra servings.
10,Tripura,Weight Loss,Breakfast,"Koat Pitha (Banana Leaf Steamed, No Oil)",222,5,38,1,6,Low,Low,Low,,"rice flour, banana, oil",Vegetarian,,Prepare it with minimal oil and keep the serving small. Steam or wrap it in a banana leaf for a lighter finish. Avoid deep frying at every stage.,30 minutes brisk walking,Keep portions controlled and avoid extra servings. Sweet or fried pitha portions should stay small.
11,Tripura,Weight Loss,Breakfast,Oats + Local Perilla Seeds,260,10,40,6,8,Low,Low,Low,,"Oats, perilla seeds",Vegetarian,,Cook oats in water and sprinkle roasted perilla seeds.,30 mins jogging,Perilla provides healthy fats; maintain strict portion.
12,Tripura,Weight Loss,Breakfast,"Poda Pitha (Banana Leaf Steamed, No Oil)",156,8,47,0,4,Low,Low,Low,,"rice flour, urad dal, coconut, jaggery",Vegetarian,,Prepare it with minimal oil and keep the serving small. Steam or wrap it in a banana leaf for a lighter finish. Avoid deep frying at every stage.,30 minutes brisk walking,Keep portions controlled and avoid extra servings. Sweet or fried pitha portions should stay small.
13,Tripura,Weight Loss,Breakfast,Puffed Rice + Cucumber Salad,150,4,30,1,4,High,Low,Low,,"Puffed rice, cucumber, coriander",Vegetarian,,Toss puffed rice with fresh cucumber to add volume without calories.,20 mins light cardio,High volume meal helps in early satiety.
14,Tripura,Weight Loss,Breakfast,Red Rice Flakes + Skimmed Milk,240,10,45,2,6,Low,Low,Low,Milk,"Red rice flakes, skimmed milk",Vegetarian,,Soak red rice flakes in warm skimmed milk.,40 mins cardio,Skimmed milk helps keep saturated fat low.
15,Tripura,Weight Loss,Breakfast,Steamed Tapioca + Black Tea,220,2,50,1,5,Medium,Low,Low,,"Tapioca, black tea",Vegetarian,,Steam tapioca until soft; consume with plain black tea.,30 mins walking,Tapioca is carb-heavy; limit to 100g.
16,Tripura,Weight Loss,Breakfast,"Tel Pitha (Banana Leaf Steamed, No Oil)",202,7,38,2,5,Low,Low,Low,,"rice flour, jaggery, sesame, oil",Vegetarian,,Prepare it with minimal oil and keep the serving small. Steam or wrap it in a banana leaf for a lighter finish. Avoid deep frying at every stage.,30 minutes brisk walking,Keep portions controlled and avoid extra servings. Sweet or fried pitha portions should stay small.
17,Tripura,Weight Loss,Breakfast,"Awansok (Charcoal Grilled, No Oil)",212,12,46,1,3,Low,Low,Low,,"rice flour, water, ginger, banana leaf",Non-Vegetarian,Fish,Prepare it with minimal oil and keep the serving small. Use a dry roast or grill so the dish stays authentic and lighter. Avoid deep frying at every stage.,30 minutes brisk walking,Keep portions controlled and avoid extra servings.
