id,state,diet_need,meal_type,dish,calories,protein_g,carbs_g,fat_g,fiber_g,glycemic_index,sodium_level,cholesterol_impact,allergens,base_ingredients,diet_type,meat_type,instructions,exercise,warning
1,Tamil Nadu,Weight Loss,Breakfast,"Adai (Low Oil, Clean Prep, Breakfast Style, Plant-Based)",195,9,27,7,8,Medium,Low,Low,Legumes,"mixed lentils, rice, red chilli, curry leaves",Vegetarian,,"Prepare Adai with very little oil and keep the portion small. Pair it with a light sambar, chutney, or salad and avoid fried sides.",30 mins brisk walk or interval training,"Keep the serving controlled; avoid extra chutney, fried sides, and sugary drinks."
2,Tamil Nadu,Weight Loss,Breakfast,"Idli (Thin, No Oil, Breakfast Style, Plant-Based)",145,7,29,2,3,Low,Low,Low,Legumes,"rice, urad dal, fenugreek, water",Vegetarian,,"Prepare Idli with very little oil and keep the portion small. Pair it with a light sambar, chutney, or salad and avoid fried sides.",30 mins brisk walk or interval training,"Keep the serving controlled; avoid extra chutney, fried sides, and sugary drinks."
3,Tamil Nadu,Weight Loss,Breakfast,"Kambu Dosa (Millet Mix, High Fibre, Breakfast Style, Plant-Based)",185,8,32,7,5,Low,Low,Low,Legumes,"pearl millet, rice, urad dal, curry leaves",Vegetarian,,"Prepare Kambu Dosa with very little oil and keep the portion small. Pair it with a light sambar, chutney, or salad and avoid fried sides.",30 mins brisk walk or interval training,"Keep the serving controlled; avoid extra chutney, fried sides, and sugary drinks."
4,Tamil Nadu,Weight Loss,Breakfast,Kambu Koozh + Chinna Vengayam,300,15,42,8,8,Low,Medium,Low,Dairy,"Pearl Millet, Small Onion, Buttermilk",Vegetarian,,Ferment overnight; consume with raw onions to cut fat and aid digestion.,30 mins HIIT,Monitor hydration; stop if dizzy
5,Tamil Nadu,Weight Loss,Breakfast,Kollu Dosa + Thakkali Chutney,300,15,42,8,8,Low,Medium,Low,Legumes,"Horsegram, Rice, Tomato",Vegetarian,,Spread thin on non-stick tawa without oil.,30 mins HIIT,Avoid if prone to acidity
6,Tamil Nadu,Weight Loss,Breakfast,"Kuthiraivali Upma (No Ghee, Breakfast Style, Plant-Based)",180,7,31,5,5,Low,Medium,Low,Dairy,"barnyard millet, mustard seeds, vegetables, curry leaves",Vegetarian,,"Prepare Kuthiraivali Upma with very little oil and keep the portion small. Pair it with a light sambar, chutney, or salad and avoid fried sides.",30 mins brisk walk or interval training,"Keep the serving controlled; avoid extra chutney, fried sides, and sugary drinks."
7,Tamil Nadu,Weight Loss,Breakfast,"Mini Idli (Small Portion, Light Tempering, Breakfast Style, Plant-Based)",155,7,31,2,3,Low,Low,Low,Legumes,"rice, urad dal, fenugreek, water",Vegetarian,,"Prepare Mini Idli with very little oil and keep the portion small. Pair it with a light sambar, chutney, or salad and avoid fried sides.",30 mins brisk walk or interval training,"Keep the serving controlled; avoid extra chutney, fried sides, and sugary drinks."
8,Tamil Nadu,Weight Loss,Breakfast,"Ragi Idli (Steamed, Low Salt, Breakfast Style, Plant-Based)",145,8,29,2,4,Low,Medium,Low,Legumes,"ragi flour, urad dal, fenugreek",Vegetarian,,"Prepare Ragi Idli with very little oil and keep the portion small. Pair it with a light sambar, chutney, or salad and avoid fried sides.",30 mins brisk walk or interval training,"Keep the serving controlled; avoid extra chutney, fried sides, and sugary drinks."
9,Tamil Nadu,Weight Loss,Breakfast,"Samai Upma (Leafy Greens Added, Breakfast Style, Plant-Based)",190,6,33,5,5,Low,Low,Medium,,"little millet, mustard seeds, curry leaves, vegetables",Vegetarian,,"Prepare Samai Upma with very little oil and keep the portion small. Pair it with a light sambar, chutney, or salad and avoid fried sides.",30 mins brisk walk or interval training,"Keep the serving controlled; avoid extra chutney, fried sides, and sugary drinks."
10,Tamil Nadu,Weight Loss,Breakfast,Samai Upma + Kadalai Chutney,300,15,42,8,8,Medium,Medium,Low,"Legumes, Peanuts","Little Millet, Peanuts, Mustard",Vegetarian,,Dry roast samai; use water spray instead of oil for tempering.,30 mins HIIT,Chew thoroughly
11,Tamil Nadu,Weight Loss,Breakfast,Solam Dosa + Poondu Chutney,300,15,42,8,8,Low,Medium,Low,,"Sorghum, Garlic, Red Chilli",Vegetarian,,Cook without oil; garlic aids in fat burning.,30 mins HIIT,Monitor stomach heat
