id,state,diet_need,meal_type,dish,calories,protein_g,carbs_g,fat_g,fiber_g,glycemic_index,sodium_level,cholesterol_impact,allergens,base_ingredients,diet_type,meat_type,instructions,exercise,warning
1,Rajasthan,Weight Loss,Breakfast,"Bajra Raab (Steamed, Small Portion, Breakfast, Vegetarian)",153,8,23,3,7,Medium,Medium,Medium,,"bajra flour, water, cumin, black pepper, ginger",Vegetarian,,Prepare the bajra raab with minimal oil and keep the serving small for a lighter meal. Pair it with a brisk walk after eating and avoid adding extra ghee.,Brisk walking or cycling for 30 minutes.,Serve fresh and keep portions sensible.
2,Rajasthan,Weight Loss,Breakfast,"Bajra Rotla (Minimal Ghee, Breakfast, Vegetarian)",153,8,23,3,7,Medium,Medium,Medium,,"bajra flour, water, salt, cumin",Vegetarian,,Prepare the bajra rotla with minimal oil and keep the serving small for a lighter meal. Pair it with a brisk walk after eating and avoid adding extra ghee.,Brisk walking or cycling for 30 minutes.,Serve fresh and keep portions sensible.
3,Rajasthan,Weight Loss,Breakfast,"Bajre ki Khichdi (Light Tempering, Breakfast, Vegetarian)",212,10,31,5,8,Low,Low,Low,legume,"bajra, moong dal, cumin, ginger, green chilli",Vegetarian,,Prepare the bajre ki khichdi with minimal oil and keep the serving small for a lighter meal. Pair it with a brisk walk after eating and avoid adding extra ghee.,Brisk walking or cycling for 30 minutes.,Contains legume.
4,Rajasthan,Weight Loss,Breakfast,Jau Raab (Buttermilk based),170,7,30,2,5,Low,Low,Low,Milk,"Barley flour, skimmed buttermilk",Vegetarian,none,Simmer barley in skimmed buttermilk; low calorie and highly satiating.,45 mins brisk walking,High protein-to-calorie ratio supports muscle retention during fat loss.
5,Rajasthan,Weight Loss,Breakfast,Jau Raab (Buttermilk based),170,7,30,2,5,Low,Low,Low,Milk,"Barley flour, skimmed buttermilk",Vegetarian,none,Boil barley in skimmed buttermilk; low calorie and very filling.,45 mins brisk walking,Buttermilk provides hydration and probiotics for weight loss.
6,Rajasthan,Weight Loss,Breakfast,Jau Raab (Buttermilk based),170,7,30,2,5,Low,Low,Low,Milk,"Barley flour, skimmed buttermilk",Vegetarian,none,Boil barley in skimmed buttermilk.,45 mins brisk walking,Low calorie and very filling.
7,Rajasthan,Weight Loss,Breakfast,"Methi Bajra Cheela (Baked, Light, Breakfast, Vegetarian)",153,8,23,3,7,Low,Low,Low,gluten,"bajra flour, fenugreek leaves, cumin, green chilli, coriander",Vegetarian,,Prepare the methi bajra cheela with minimal oil and keep the serving small for a lighter meal. Pair it with a brisk walk after eating and avoid adding extra ghee.,Brisk walking or cycling for 30 minutes.,Contains gluten.
8,Rajasthan,Weight Loss,Breakfast,Methi Thepla (No Oil) + Curd,230,10,35,5,7,Low,Low,Low,Gluten/Milk,"Wheat, fenugreek leaves, skimmed curd",Vegetarian,none,Knead methi into dough; dry roast on tawa; serve with fat-free curd.,45 mins brisk walking,Methi provides fiber and protein which keeps you full longer.
9,Rajasthan,Weight Loss,Breakfast,"Missi Roti (Low-Fat Gravy, Breakfast, Vegetarian)",153,8,23,3,7,High,High,High,gluten,"whole wheat flour, besan, ajwain, onion, spices",Vegetarian,,Prepare the missi roti with minimal oil and keep the serving small for a lighter meal. Pair it with a brisk walk after eating and avoid adding extra ghee.,Brisk walking or cycling for 30 minutes.,Contains gluten.
10,Rajasthan,Weight Loss,Breakfast,Moong Dal Cheela,210,12,30,4,6,Low,Low,Low,,"Green gram, green chili, ginger",Vegetarian,none,Cook on iron tawa with water droplets instead of oil to save calories.,45 mins brisk walking,Monitor weight weekly to ensure steady fat loss.
