id,state,diet_need,meal_type,dish,calories,protein_g,carbs_g,fat_g,fiber_g,glycemic_index,sodium_level,cholesterol_impact,allergens,base_ingredients,diet_type,meat_type,instructions,exercise,warning
1,Punjab,Weight Loss,Breakfast,Bathua Paratha (No Ghee; minimal oil; Weight Loss; Vegetarian),234,9,35,8,6,Low,Medium,Low,Gluten,"Whole wheat flour, bathua leaves, green chili",Vegetarian,,Prepare it fresh for breakfast with a light pan or tawa cook. Use minimal oil and keep the serving tight.,30 mins brisk walk or HIIT,"Keep the portion controlled; avoid adding butter, cream, or extra fried sides."
2,Punjab,Weight Loss,Breakfast,Bathua Paratha (Tawa-Cooked; minimal oil; Weight Loss; Vegetarian),234,9,35,8,6,Low,Medium,Low,Gluten,"Whole wheat flour, bathua leaves, green chili",Vegetarian,,Prepare it fresh for breakfast with a light pan or tawa cook. Use minimal oil and keep the serving tight.,30 mins brisk walk or HIIT,"Keep the portion controlled; avoid adding butter, cream, or extra fried sides."
3,Punjab,Weight Loss,Breakfast,Besan Chilla (Dry Roasted; light bake; Weight Loss; Vegetarian),171,11,23,5,7,Low,Low,Low,,"Gram flour, onion, coriander, green chili",Vegetarian,,Prepare it fresh for breakfast with a light pan or tawa cook. Use minimal oil and keep the serving tight.,30 mins brisk walk or HIIT,"Keep the portion controlled; avoid adding butter, cream, or extra fried sides."
4,Punjab,Weight Loss,Breakfast,Besan Chilla (With Salad; light bake; Weight Loss; Vegetarian),171,11,23,5,7,Low,Low,Low,,"Gram flour, onion, coriander, green chili",Vegetarian,,Prepare it fresh for breakfast with a light pan or tawa cook. Use minimal oil and keep the serving tight.,30 mins brisk walk or HIIT,"Keep the portion controlled; avoid adding butter, cream, or extra fried sides."
5,Punjab,Weight Loss,Breakfast,Besan Methi Puda,240,11,32,7,10,Low,Low,Low,,"Gram flour, fenugreek",Vegetarian,,Methi suppress appetite; gram flour provides protein.,45 mins HIIT,"A gluten-free, high-fiber, low-calorie breakfast."
6,Punjab,Weight Loss,Breakfast,Besan Puda with Methi,240,11,32,7,10,Low,Low,Low,,"Gram flour, fenugreek",Vegetarian,,High fiber and protein; controls hunger hormones.,45 mins HIIT,Methi assists in fat metabolism and weight loss.
7,Punjab,Weight Loss,Breakfast,Besan Puda with Methi,240,11,32,7,10,Low,Low,Low,,"Gram flour, fenugreek",Vegetarian,,Fiber dense; gram flour suppresses hunger hormone.,45 mins HIIT,Fenugreek aids fat metabolism and fat loss.
8,Punjab,Weight Loss,Breakfast,Besan Puda with Methi,240,11,32,7,10,Low,Low,Low,,"Gram flour, fenugreek leaves",Vegetarian,,Suppress hunger hormone; high fiber protein.,45 mins HIIT,Fenugreek helps in burning fat more efficiently.
9,Punjab,Weight Loss,Breakfast,Besan Puda with Methi,240,11,32,7,10,Low,Low,Low,,"Gram flour, fenugreek",Vegetarian,,Suppress hunger hormone; high fiber protein.,45 mins HIIT,Fenugreek aids in faster fat metabolism.
10,Punjab,Weight Loss,Breakfast,Besan Puda with lots of Methi,240,11,32,7,10,Low,Low,Low,,"Gram flour, fenugreek leaves, ginger",Vegetarian,,Methi lowers glucose and suppresses appetite; prepare on non-stick pan with 5ml oil.,45 mins HIIT,Fenugreek is thermogenic and aids in faster weight loss.
11,Punjab,Weight Loss,Breakfast,Chana Dal Cheela (Small Portion; dry roast; Weight Loss; Vegetarian),171,11,23,5,7,Low,Low,Low,,"Split chickpea, cumin, green chili, coriander",Vegetarian,,Prepare it fresh for breakfast with a light pan or tawa cook. Use minimal oil and keep the serving tight.,30 mins brisk walk or HIIT,"Keep the portion controlled; avoid adding butter, cream, or extra fried sides."
12,Punjab,Weight Loss,Breakfast,Chana Dal Cheela (Steam-Finish; dry roast; Weight Loss; Vegetarian),171,11,23,5,7,Low,Low,Low,,"Split chickpea, cumin, green chili, coriander",Vegetarian,,Prepare it fresh for breakfast with a light pan or tawa cook. Use minimal oil and keep the serving tight.,30 mins brisk walk or HIIT,"Keep the portion controlled; avoid adding butter, cream, or extra fried sides."
13,Punjab,Weight Loss,Breakfast,Dalia (Light Tadka; small plate; Weight Loss; Vegetarian),171,11,23,5,7,Low,Low,Low,,"Broken wheat, onion, carrots, beans",Vegetarian,,Prepare it fresh for breakfast with a light pan or tawa cook. Use minimal oil and keep the serving tight.,30 mins brisk walk or HIIT,"Keep the portion controlled; avoid adding butter, cream, or extra fried sides."
14,Punjab,Weight Loss,Breakfast,Dalia (Low Calorie; small plate; Weight Loss; Vegetarian),171,11,23,5,7,Low,Low,Low,,"Broken wheat, onion, carrots, beans",Vegetarian,,Prepare it fresh for breakfast with a light pan or tawa cook. Use minimal oil and keep the serving tight.,30 mins brisk walk or HIIT,"Keep the portion controlled; avoid adding butter, cream, or extra fried sides."
15,Punjab,Weight Loss,Breakfast,Makki di Roti (No Butter; no fry; Weight Loss; Vegetarian),234,9,35,8,6,Low,Medium,Low,Gluten,"Cornmeal, water, ajwain, coriander",Vegetarian,,Prepare it fresh for breakfast with a light pan or tawa cook. Use minimal oil and keep the serving tight.,30 mins brisk walk or HIIT,"Keep the portion controlled; avoid adding butter, cream, or extra fried sides."
16,Punjab,Weight Loss,Breakfast,Makki di Roti (Portion Controlled; no fry; Weight Loss; Vegetarian),234,9,35,8,6,Low,Medium,Low,Gluten,"Cornmeal, water, ajwain, coriander",Vegetarian,,Prepare it fresh for breakfast with a light pan or tawa cook. Use minimal oil and keep the serving tight.,30 mins brisk walk or HIIT,"Keep the portion controlled; avoid adding butter, cream, or extra fried sides."
17,Punjab,Weight Loss,Breakfast,Methi Paratha (Herb Finish; herb finish; Weight Loss; Vegetarian),234,9,35,8,6,Low,Medium,Low,Gluten,"Whole wheat flour, fenugreek leaves, cumin",Vegetarian,,Prepare it fresh for breakfast with a light pan or tawa cook. Use minimal oil and keep the serving tight.,30 mins brisk walk or HIIT,"Keep the portion controlled; avoid adding butter, cream, or extra fried sides."
18,Punjab,Weight Loss,Breakfast,Methi Paratha (Whole Grain; herb finish; Weight Loss; Vegetarian),234,9,35,8,6,Low,Medium,Low,Gluten,"Whole wheat flour, fenugreek leaves, cumin",Vegetarian,,Prepare it fresh for breakfast with a light pan or tawa cook. Use minimal oil and keep the serving tight.,30 mins brisk walk or HIIT,"Keep the portion controlled; avoid adding butter, cream, or extra fried sides."
19,Punjab,Weight Loss,Breakfast,Missi Roti (High Fibre; simple serve; Weight Loss; Vegetarian),234,9,35,8,6,Low,Medium,Low,Gluten,"Gram flour, whole wheat flour, ajwain, coriander",Vegetarian,,Prepare it fresh for breakfast with a light pan or tawa cook. Use minimal oil and keep the serving tight.,30 mins brisk walk or HIIT,"Keep the portion controlled; avoid adding butter, cream, or extra fried sides."
20,Punjab,Weight Loss,Breakfast,Missi Roti (Lean Protein; simple serve; Weight Loss; Vegetarian),234,9,35,8,6,Low,Medium,Low,Gluten,"Gram flour, whole wheat flour, ajwain, coriander",Vegetarian,,Prepare it fresh for breakfast with a light pan or tawa cook. Use minimal oil and keep the serving tight.,30 mins brisk walk or HIIT,"Keep the portion controlled; avoid adding butter, cream, or extra fried sides."
21,Punjab,Weight Loss,Breakfast,Missi Roti with Pudina Chutney,280,12,42,7,9,Low,Low,Low,Gluten,"Gram flour, whole wheat flour, mint, green chili",Vegetarian,,Dry roast on tawa without oil; gram flour provides high fiber and protein for satiety.,30 mins HIIT,Ensure portion control; one medium roti is recommended for calorie deficit.
22,Punjab,Weight Loss,Breakfast,Moong Dal Chilla (Minimal Oil; fresh tawa; Weight Loss; Vegetarian),171,11,23,5,7,Low,Low,Low,,"Split green gram, ginger, green chili, cumin",Vegetarian,,Prepare it fresh for breakfast with a light pan or tawa cook. Use minimal oil and keep the serving tight.,30 mins brisk walk or HIIT,"Keep the portion controlled; avoid adding butter, cream, or extra fried sides."
