id,state,diet_need,meal_type,dish,calories,protein_g,carbs_g,fat_g,fiber_g,glycemic_index,sodium_level,cholesterol_impact,allergens,base_ingredients,diet_type,meat_type,instructions,exercise,warning
1,Gujarat,Weight Loss,Breakfast,Bajra Thepla with Curd,340,12,50,10,9,Low,Medium,Low,Dairy,"Pearl Millet, Spices, Low-fat Curd",Vegetarian,,Dry roast Thepla and serve with low-fat curd.,30 mins brisk walking,Monitor hydration
2,Gujarat,Weight Loss,Breakfast,Dudhi No Handvo (Baked),280,10,40,9,8,Low,Medium,Low,,"Lentil Batter, Bottle Gourd",Vegetarian,,Bake instead of pan-frying to minimize oil use.,30 mins brisk walking,Drink adequate water
3,Gujarat,Weight Loss,Breakfast,"Handvo (Roasted, Travel Pack)",138,6,14,3,6,Low,Low,Low,Gluten,"rice, toor dal, moong dal, sesame, bottle gourd, curd, spices",Vegetarian,,"Steam, roast, or lightly cook handvo with minimal oil and keep the portion measured. Serve it with extra vegetables or chutney made without added sugar.",30-45 mins brisk walking,Keep portions controlled and avoid extra ghee.
4,Gujarat,Weight Loss,Breakfast,Idada (White Dhokla),260,10,45,4,5,Medium,Medium,Low,,"Rice, Urad Dal",Vegetarian,,Steam perfectly and serve with green chutney instead of oil.,30 mins brisk walking,No specific warning
5,Gujarat,Weight Loss,Breakfast,"Khaman Dhokla (Steamed, No Oil, Surti Style)",157,6,13,7,7,Low,Low,Low,Gluten,"gram flour, curd, ginger, green chilli, mustard seeds, curry leaves",Vegetarian,,"Steam, roast, or lightly cook khaman dhokla with minimal oil and keep the portion measured. Serve it with extra vegetables or chutney made without added sugar.",30-45 mins brisk walking,Keep portions controlled and avoid extra ghee.
6,Gujarat,Weight Loss,Breakfast,"Khamani (No Sugar, Traditional)",159,9,18,4,6,Low,Low,Low,,"gram flour, turmeric, ginger, mustard seeds, curry leaves",Vegetarian,,"Steam, roast, or lightly cook khamani with minimal oil and keep the portion measured. Serve it with extra vegetables or chutney made without added sugar.",30-45 mins brisk walking,Keep portions controlled and avoid extra ghee.
7,Gujarat,Weight Loss,Breakfast,"Khandvi (Light Tempering, Kathiawadi Style)",144,7,15,7,5,Low,Low,Low,,"gram flour, curd, ginger, green chilli, mustard seeds, curry leaves",Vegetarian,,"Steam, roast, or lightly cook khandvi with minimal oil and keep the portion measured. Serve it with extra vegetables or chutney made without added sugar.",30-45 mins brisk walking,Keep portions controlled and avoid extra ghee.
8,Gujarat,Weight Loss,Breakfast,Khatta Dhokla (No Oil Tadka),290,11,46,6,6,Medium,Medium,Low,Dairy,"Rice, Urad Dal, Curd",Vegetarian,,Ferment naturally; skip the oil and mustard seed tempering.,30 mins brisk walking,Monitor acidity
9,Gujarat,Weight Loss,Breakfast,"Khichu (Low Ghee, Surti Style)",143,8,14,2,8,Low,Low,Low,Gluten,"rice flour, cumin, green chilli, sesame oil, coriander",Vegetarian,,"Steam, roast, or lightly cook khichu with minimal oil and keep the portion measured. Serve it with extra vegetables or chutney made without added sugar.",30-45 mins brisk walking,Keep portions controlled and avoid extra ghee.
10,Gujarat,Weight Loss,Breakfast,"Locho (With Curd, Morning Tiffin)",151,10,17,2,6,Low,Low,Low,,"gram flour, curd, spices, green chutney, sev",Vegetarian,,"Steam, roast, or lightly cook locho with minimal oil and keep the portion measured. Serve it with extra vegetables or chutney made without added sugar.",30-45 mins brisk walking,Keep portions controlled and avoid extra ghee.
11,Gujarat,Weight Loss,Breakfast,Moong Dal Chilla,320,16,42,9,7,Medium,Medium,Low,,Split Green Gram,Vegetarian,,Cook on a non-stick tawa with zero oil spray.,30 mins brisk walking,Avoid if bloated
12,Gujarat,Weight Loss,Breakfast,"Muthiya (Thin Batter, Winter Special)",153,10,13,6,6,Low,Low,Low,Gluten,"whole wheat flour, gram flour, fenugreek leaves, spices, sesame",Vegetarian,,"Steam, roast, or lightly cook muthiya with minimal oil and keep the portion measured. Serve it with extra vegetables or chutney made without added sugar.",30-45 mins brisk walking,Keep portions controlled and avoid extra ghee.
