id,state,diet_need,meal_type,meal_name,calories,protein_g,carbs_g,fat_g,fiber_g,glycemic_index,sodium_level,cholesterol_impact,allergens,base_ingredients,diet_type,meat_type,instructions,exercise_recommendation,medical_warning
1,Odisha,Weight Loss,Breakfast,Chuda Kadali (Low Oil),230,13,28,5,6,Medium,High,Low,Safe,Traditional Odia ingredients,Vegetarian,,Prepared with traditional Odia methods and adjusted for weight loss.,Daily activity based on goal,Check portions and allergens.
2,Odisha,Weight Loss,Breakfast,Mandia Chakuli (Steamed),220,12,27,5,5,Low,Medium,High,Safe,Traditional Odia ingredients,Vegetarian,,Prepared with traditional Odia methods and adjusted for weight loss.,Daily activity based on goal,Check portions and allergens.
3,Odisha,Weight Loss,Breakfast,Mandia Jau (Millet Porridge),180,4,36,2,8,Low,Low,Low,Dairy,"Ragi flour, water, curd, curry leaves",Vegetarian,,Slow cook ragi in water and cool; mix with fresh curd and tempering; high fiber promotes satiety.,30 mins HIIT,Ensure curd is not sour to prevent acidity during high-intensity training.
4,Odisha,Weight Loss,Breakfast,Muga Dosa (Home Style),240,14,30,5,7,High,Low,Medium,Safe,Traditional Odia ingredients,Vegetarian,,Prepared with traditional Odia methods and adjusted for weight loss.,Daily activity based on goal,Check portions and allergens.
5,Odisha,Weight Loss,Breakfast,Sijha Boota (Boiled Bengal Gram),210,11,32,4,9,Low,Low,Low,Safe,"Black gram, ginger, lemon",Vegetarian,,Boiled black gram with lemon and ginger; high fiber suppresses appetite.,30 mins cardio,Protein-rich start to prevent muscle loss during fat loss.
6,Odisha,Weight Loss,Breakfast,Sijha Mandia,210,6,42,2,9,Low,Low,Low,Safe,Ragi flour,Vegetarian,,Millet based breakfast; zero oil.,30 mins HIIT,Satiety support.
7,Odisha,Weight Loss,Breakfast,Sijha Mandia,210,6,42,2,9,Low,Low,Low,Safe,Ragi,Vegetarian,,Fullness breakfast.,30 mins HIIT,Millet power.
8,Odisha,Weight Loss,Breakfast,Sijha Mandia (Millet cakes),210,6,42,2,9,Low,Low,Low,Safe,"Ragi flour, ginger",Vegetarian,,Steam ragi batter into cakes; zero oil; high fiber.,30 mins HIIT,Ragi keeps you full for longer durations.
9,Odisha,Weight Loss,Breakfast,Sijha Mung + Cucumber,230,11,36,2,8,Low,Low,Low,Safe,"Moong, cucumber",Vegetarian,,Protein and water-rich breakfast.,30 mins HIIT,Fat oxidation start.
10,Odisha,Weight Loss,Breakfast,Sijha Mung + Cucumber,230,11,36,2,8,Low,Low,Low,Safe,"Moong, cucumber",Vegetarian,,Protein water balance.,30 mins HIIT,Fat burn.
11,Odisha,Weight Loss,Breakfast,Sijha Mung + Cucumber salad,220,10,34,2,8,Low,Low,Low,Safe,"Green moong, cucumber, lemon",Vegetarian,,Boiled moong with fresh cucumber; zero oil breakfast.,30 mins HIIT,Hydrating and protein-rich start for fat loss.
12,Odisha,Weight Loss,Breakfast,Sijha Mung + Ginger tea,230,10,38,2,8,Low,Low,Low,Safe,"Moong, ginger, green tea",Vegetarian,,Boiled moong with sugar-free ginger tea.,30 mins HIIT,Increases metabolic rate and fat oxidation.
13,Odisha,Weight Loss,Breakfast,Sijha Mung + Ginger tea,230,10,38,2,8,Low,Low,Low,Safe,"Moong, ginger",Vegetarian,,Metabolic boost breakfast.,30 mins HIIT,Fat burn.
14,Odisha,Weight Loss,Breakfast,Sooji Upama (Portion Controlled),250,15,31,6,8,Low,Medium,High,Safe,Traditional Odia ingredients,Vegetarian,,Prepared with traditional Odia methods and adjusted for weight loss.,Daily activity based on goal,Check portions and allergens.
15,Odisha,Weight Loss,Breakfast,Suan Upma,230,7,44,3,11,Low,Low,Low,Safe,"Barnyard millet, vegetables",Vegetarian,,Millet-based breakfast with zero oil; very high fiber.,30 mins HIIT,Keeps you full until lunch.
16,Odisha,Weight Loss,Breakfast,Suan Upma,230,7,44,3,11,Low,Low,Low,Safe,Suan millet,Vegetarian,,High fiber start.,30 mins HIIT,Satiety focus.
17,Odisha,Weight Loss,Breakfast,Boiled Egg with Saga (Low Oil),230,13,28,5,8,Medium,High,Low,Egg,Traditional Odia ingredients,Non-Vegetarian,Egg,Prepared with traditional Odia methods and adjusted for weight loss.,Daily activity based on goal,Check portions and allergens.
18,Odisha,Weight Loss,Breakfast,Chakuli with Fish Curry (Portion Controlled),250,15,31,6,7,Medium,High,Low,Fish,Traditional Odia ingredients,Non-Vegetarian,Seafood,Prepared with traditional Odia methods and adjusted for weight loss.,Daily activity based on goal,Check portions and allergens.
19,Odisha,Weight Loss,Breakfast,Chicken Manda Roll (Steamed),220,12,27,5,7,Low,Medium,High,Fish,Traditional Odia ingredients,Non-Vegetarian,Fish,Prepared with traditional Odia methods and adjusted for weight loss.,Daily activity based on goal,Check portions and allergens.
