id,state,diet_need,meal_type,meal_name,calories,protein_g,carbs_g,fat_g,fiber_g,glycemic_index,sodium_level,cholesterol_impact,allergens,base_ingredients,diet_type,meat_type,instructions,exercise_recommendation,medical_warning
1,Telangana,Weight Loss,Breakfast,"Atukula Upma (Tamarind Light, Breakfast, Vegetarian)",139,7,21,3,7,High,Medium,Medium,"Mustard, Peanut, Peanuts","flattened rice, onions, curry leaves, mustard seeds, peanuts",Vegetarian,,Prepare Atukula Upma with minimal oil and keep the serving small. Pair it with vegetables or a light chutney instead of fried sides. Serve it fresh in the morning for better satiety.,brisk walk or interval cardio in the morning,Keep the portion modest and avoid fried sides or extra rice. Contains Peanuts.
2,Telangana,Weight Loss,Breakfast,"Golikonda Karam Dosa (Lean Plate, Breakfast, Vegetarian)",180,8,28,4,5,High,High,Medium,"Gluten, Sesame","rice batter, red chilies, garlic, sesame seeds",Vegetarian,,Prepare Golikonda Karam Dosa with minimal oil and keep the serving small. Pair it with vegetables or a light chutney instead of fried sides. Serve it fresh in the morning for better satiety.,brisk walk or interval cardio in the morning,"Keep the portion modest and avoid fried sides or extra rice. Contains Sesame, Gluten."
3,Telangana,Weight Loss,Breakfast,"Golikonda Karam Dosa (Light Steam, Breakfast, Vegetarian)",213,13,32,5,8,High,Low,Low,"Gluten, Sesame","rice batter, red chilies, garlic, sesame seeds",Vegetarian,,Prepare Golikonda Karam Dosa with minimal oil and keep the serving small. Pair it with vegetables or a light chutney instead of fried sides. Serve it fresh in the morning for better satiety.,brisk walk or interval cardio in the morning,"Keep the portion modest and avoid fried sides or extra rice. Contains Sesame, Gluten."
4,Telangana,Weight Loss,Breakfast,"Jonna Rotte (Ginger Touch, Breakfast, Vegetarian)",192,10,21,6,6,High,Low,High,Safe,"sorghum flour, water, salt",Vegetarian,,Prepare Jonna Rotte with minimal oil and keep the serving small. Pair it with vegetables or a light chutney instead of fried sides. Serve it fresh in the morning for better satiety.,brisk walk or interval cardio in the morning,Keep the portion modest and avoid fried sides or extra rice.
5,Telangana,Weight Loss,Breakfast,"Korra Atukulu (Leafy Mix, Breakfast, Vegetarian)",189,12,21,7,6,Medium,High,High,Safe,"foxtail millet flakes, onions, green chilies, curry leaves",Vegetarian,,Prepare Korra Atukulu with minimal oil and keep the serving small. Pair it with vegetables or a light chutney instead of fried sides. Serve it fresh in the morning for better satiety.,brisk walk or interval cardio in the morning,Keep the portion modest and avoid fried sides or extra rice.
6,Telangana,Weight Loss,Breakfast,"Kudumulu (Soft Cooked, Breakfast, Vegetarian)",188,8,25,7,6,Medium,Medium,High,Safe,"rice flour, chana dal, cumin, green chilies",Vegetarian,,Prepare Kudumulu with minimal oil and keep the serving small. Pair it with vegetables or a light chutney instead of fried sides. Serve it fresh in the morning for better satiety.,brisk walk or interval cardio in the morning,Keep the portion modest and avoid fried sides or extra rice.
7,Telangana,Weight Loss,Breakfast,Makka Garelu (Air-Fried) + Allam Pachadi,220,6,35,4,5,Medium,Medium,Low,Safe,"Corn, ginger, green chili",Vegetarian,,Air-fry the corn patties. Serve with a tangy ginger dip.,45 mins brisk walk,Air-frying cuts calories by 60% compared to deep frying.
8,Telangana,Weight Loss,Breakfast,"Minapa Garelu (Millet Blend, Breakfast, Vegetarian)",184,11,26,4,6,Medium,Medium,High,Safe,"urad dal, cumin, curry leaves, green chilies",Vegetarian,,Prepare Minapa Garelu with minimal oil and keep the serving small. Pair it with vegetables or a light chutney instead of fried sides. Serve it fresh in the morning for better satiety.,brisk walk or interval cardio in the morning,Keep the portion modest and avoid fried sides or extra rice.
9,Telangana,Weight Loss,Breakfast,"Nimmakaya Pulihora (Simple Tiffin, Breakfast, Vegetarian)",174,7,20,7,8,Medium,High,Medium,"Mustard, Peanut, Peanuts","rice, lemon, peanuts, curry leaves, mustard seeds",Vegetarian,,Prepare Nimmakaya Pulihora with minimal oil and keep the serving small. Pair it with vegetables or a light chutney instead of fried sides. Serve it fresh in the morning for better satiety.,brisk walk or interval cardio in the morning,Keep the portion modest and avoid fried sides or extra rice. Contains Peanuts.
10,Telangana,Weight Loss,Breakfast,"Pesara Guggillu (Half Portion, Breakfast, Vegetarian)",214,11,29,7,4,Low,High,High,Mustard,"green gram, curry leaves, mustard seeds, green chilies",Vegetarian,,Prepare Pesara Guggillu with minimal oil and keep the serving small. Pair it with vegetables or a light chutney instead of fried sides. Serve it fresh in the morning for better satiety.,brisk walk or interval cardio in the morning,Keep the portion modest and avoid fried sides or extra rice.
