id,state,diet_need,meal_type,meal_name,calories,protein_g,carbs_g,fat_g,fiber_g,glycemic_index,sodium_level,cholesterol_impact,allergens,base_ingredients,diet_type,meat_type,instructions,exercise_recommendation,medical_warning
1,Uttarakhand,Weight Loss,Breakfast,"Baadi (Light Tadka, No Ghee, Breakfast)",145,5.0,27,2,7,Low,Low,Low,Gluten,"buckwheat flour, water, salt",Vegetarian,,Prepare Baadi traditionally with minimal oil and no heavy garnish. Keep the serving small and pair it with steamed greens or a brisk walk.,30-minute brisk walk,Keep portions moderate.
2,Uttarakhand,Weight Loss,Breakfast,"Baadi (Roasted, Portion Controlled, Breakfast)",138,5.0,25,2,7,Low,Low,Low,Gluten,"buckwheat flour, water, salt",Vegetarian,,Prepare Baadi traditionally with minimal oil and no heavy garnish. Keep the serving small and pair it with steamed greens or a brisk walk.,30-minute brisk walk,Keep portions moderate.
3,Uttarakhand,Weight Loss,Breakfast,"Baadi (Steamed, No Oil, Breakfast)",145,5.0,27,2,7,Low,Low,Low,Gluten,"buckwheat flour, water, salt",Vegetarian,,Prepare Baadi traditionally with minimal oil and no heavy garnish. Keep the serving small and pair it with steamed greens or a brisk walk.,30-minute brisk walk,Keep portions moderate.
4,Uttarakhand,Weight Loss,Breakfast,Gahat Ke Parathe (No Oil) + Mint Chutney,240,10.0,45,2,8,Medium,Medium,Low,Gluten,"Horse gram, wheat flour, mint",Vegetarian,none,Dry roast the stuffed paratha on a tawa.,45 mins brisk walking,Horse gram increases thermogenesis.
5,Uttarakhand,Weight Loss,Breakfast,"Kode Ki Roti (Boiled, Lemon Finish, Breakfast)",145,5.0,27,2,7,Low,Low,Low,Safe,"kode flour, water, salt",Vegetarian,,Prepare Kode Ki Roti traditionally with minimal oil and no heavy garnish. Keep the serving small and pair it with steamed greens or a brisk walk.,30-minute brisk walk,Keep portions moderate.
6,Uttarakhand,Weight Loss,Breakfast,"Kode Ki Roti (High-Fiber Bowl, Breakfast)",145,5.0,27,2,7,Low,Low,Low,Safe,"kode flour, water, salt",Vegetarian,,Prepare Kode Ki Roti traditionally with minimal oil and no heavy garnish. Keep the serving small and pair it with steamed greens or a brisk walk.,30-minute brisk walk,Keep portions moderate.
7,Uttarakhand,Weight Loss,Breakfast,"Kode Ki Roti (Light Tadka, No Ghee, Breakfast)",145,5.0,27,2,7,Low,Low,Low,Safe,"kode flour, water, salt",Vegetarian,,Prepare Kode Ki Roti traditionally with minimal oil and no heavy garnish. Keep the serving small and pair it with steamed greens or a brisk walk.,30-minute brisk walk,Keep portions moderate.
8,Uttarakhand,Weight Loss,Breakfast,"Kode Ki Roti (Roasted, Portion Controlled, Breakfast)",138,5.0,25,2,7,Low,Low,Low,Safe,"kode flour, water, salt",Vegetarian,,Prepare Kode Ki Roti traditionally with minimal oil and no heavy garnish. Keep the serving small and pair it with steamed greens or a brisk walk.,30-minute brisk walk,Keep portions moderate.
9,Uttarakhand,Weight Loss,Breakfast,"Kode Ki Roti (Steamed, No Oil, Breakfast)",145,5.0,27,2,7,Low,Low,Low,Safe,"kode flour, water, salt",Vegetarian,,Prepare Kode Ki Roti traditionally with minimal oil and no heavy garnish. Keep the serving small and pair it with steamed greens or a brisk walk.,30-minute brisk walk,Keep portions moderate.
10,Uttarakhand,Weight Loss,Breakfast,Mandua Ki Roti + Hara Namak,220,6.0,42,3,8,Low,Medium,Low,Gluten,"Finger millet, garlic, green chili, coriander",Vegetarian,none,Dry roast mandua flatbread on an iron tawa without oil; high fiber aids fat loss.,45 mins brisk walking,Monitor hydration due to high fiber content.
11,Uttarakhand,Weight Loss,Breakfast,"Mandua Roti (Boiled, Lemon Finish, Breakfast)",145,5.0,27,2,7,Low,Low,Low,Safe,"mandua flour, water, salt",Vegetarian,,Prepare Mandua Roti traditionally with minimal oil and no heavy garnish. Keep the serving small and pair it with steamed greens or a brisk walk.,30-minute brisk walk,Keep portions moderate.
12,Uttarakhand,Weight Loss,Breakfast,"Mandua Roti (High-Fiber Bowl, Breakfast)",145,5.0,27,2,7,Low,Low,Low,Safe,"mandua flour, water, salt",Vegetarian,,Prepare Mandua Roti traditionally with minimal oil and no heavy garnish. Keep the serving small and pair it with steamed greens or a brisk walk.,30-minute brisk walk,Keep portions moderate.
13,Uttarakhand,Weight Loss,Breakfast,"Mandua Roti (Light Tadka, No Ghee, Breakfast)",145,5.0,27,2,7,Low,Low,Low,Safe,"mandua flour, water, salt",Vegetarian,,Prepare Mandua Roti traditionally with minimal oil and no heavy garnish. Keep the serving small and pair it with steamed greens or a brisk walk.,30-minute brisk walk,Keep portions moderate.
14,Uttarakhand,Weight Loss,Breakfast,"Mandua Roti (Roasted, Portion Controlled, Breakfast)",138,5.0,25,2,7,Low,Low,Low,Safe,"mandua flour, water, salt",Vegetarian,,Prepare Mandua Roti traditionally with minimal oil and no heavy garnish. Keep the serving small and pair it with steamed greens or a brisk walk.,30-minute brisk walk,Keep portions moderate.
15,Uttarakhand,Weight Loss,Breakfast,"Mandua Roti (Steamed, No Oil, Breakfast)",145,5.0,27,2,7,Low,Low,Low,Safe,"mandua flour, water, salt",Vegetarian,,Prepare Mandua Roti traditionally with minimal oil and no heavy garnish. Keep the serving small and pair it with steamed greens or a brisk walk.,30-minute brisk walk,Keep portions moderate.
