id,state,diet_need,meal_type,meal_name,calories,protein_g,carbs_g,fat_g,fiber_g,glycemic_index,sodium_level,cholesterol_impact,allergens,base_ingredients,diet_type,meat_type,instructions,exercise_recommendation,medical_warning
1,Madhya Pradesh,Weight Loss,Breakfast,"Besan Chilla (Indore 56 Dukan, Minimal Oil)",179,7,25,5,4,Low,High,High,Legumes,"Moong dal or gram flour, Onion, Green chilli, Coriander, Ginger",Vegetarian,,Prepare the minimal oil version with minimal oil and keep the portion small. Add lemon or coriander for freshness and skip fried accompaniments.,40 mins brisk walk or cycling,Keep the portion controlled and avoid fried sides or extra chutney. Contains legumes.
2,Madhya Pradesh,Weight Loss,Breakfast,"Besan Chilla (Indore 56 Dukan, No Oil)",170,7,25,5,4,Medium,Low,Medium,Legumes,"Moong dal or gram flour, Onion, Green chilli, Coriander, Ginger",Vegetarian,,Prepare the no oil version with minimal oil and keep the portion small. Add lemon or coriander for freshness and skip fried accompaniments.,40 mins brisk walk or cycling,Keep the portion controlled and avoid fried sides or extra chutney. Contains legumes.
3,Madhya Pradesh,Weight Loss,Breakfast,"Bhutte Ka Kees (Indore 56 Dukan, Minimal Oil)",179,7,25,5,4,Medium,High,Low,"Dairy, Mustard","Grated corn, Milk, Mustard seeds, Green chilli, Coriander",Vegetarian,,Prepare the minimal oil version with minimal oil and keep the portion small. Add lemon or coriander for freshness and skip fried accompaniments.,40 mins brisk walk or cycling,Keep the portion controlled and avoid fried sides or extra chutney. Contains dairy.
4,Madhya Pradesh,Weight Loss,Breakfast,"Bhutte Ka Kees (Indore 56 Dukan, No Oil)",170,6,25,5,4,Low,Medium,Low,"Dairy, Mustard","Grated corn, Milk, Mustard seeds, Green chilli, Coriander",Vegetarian,,Prepare the no oil version with minimal oil and keep the portion small. Add lemon or coriander for freshness and skip fried accompaniments.,40 mins brisk walk or cycling,Keep the portion controlled and avoid fried sides or extra chutney. Contains dairy.
5,Madhya Pradesh,Weight Loss,Breakfast,"Dal Paniya (Indore 56 Dukan, Minimal Oil)",179,7,25,5,4,Medium,Low,Medium,Legumes,"Moong dal, Onion, Green chilli, Ginger, Coriander",Vegetarian,,Prepare the minimal oil version with minimal oil and keep the portion small. Add lemon or coriander for freshness and skip fried accompaniments.,40 mins brisk walk or cycling,Keep the portion controlled and avoid fried sides or extra chutney. Contains legumes.
6,Madhya Pradesh,Weight Loss,Breakfast,"Dal Paniya (Indore 56 Dukan, No Oil)",170,7,25,5,4,Low,Medium,High,Legumes,"Moong dal, Onion, Green chilli, Ginger, Coriander",Vegetarian,,Prepare the no oil version with minimal oil and keep the portion small. Add lemon or coriander for freshness and skip fried accompaniments.,40 mins brisk walk or cycling,Keep the portion controlled and avoid fried sides or extra chutney. Contains legumes.
7,Madhya Pradesh,Weight Loss,Breakfast,"Indori Poha (Indore 56 Dukan, Minimal Oil)",179,7,25,5,4,High,Low,High,"Peanut, Peanuts","Flattened rice, Onion, Peanuts, Sev, Fennel, Lemon",Vegetarian,,Prepare the minimal oil version with minimal oil and keep the portion small. Add lemon or coriander for freshness and skip fried accompaniments.,40 mins brisk walk or cycling,Keep the portion controlled and avoid fried sides or extra chutney. Contains peanuts.
8,Madhya Pradesh,Weight Loss,Breakfast,"Indori Poha (Indore 56 Dukan, No Oil)",170,6,25,5,4,Medium,Medium,Low,"Peanut, Peanuts","Flattened rice, Onion, Peanuts, Sev, Fennel, Lemon",Vegetarian,,Prepare the no oil version with minimal oil and keep the portion small. Add lemon or coriander for freshness and skip fried accompaniments.,40 mins brisk walk or cycling,Keep the portion controlled and avoid fried sides or extra chutney. Contains peanuts.
9,Madhya Pradesh,Weight Loss,Breakfast,"Jowar Upma (Indore 56 Dukan, Minimal Oil)",179,7,25,5,4,Medium,Medium,High,Mustard,"Jowar, Mixed vegetables, Mustard seeds, Curry leaves, Coriander",Vegetarian,,Prepare the minimal oil version with minimal oil and keep the portion small. Add lemon or coriander for freshness and skip fried accompaniments.,40 mins brisk walk or cycling,Keep the portion controlled and avoid fried sides or extra chutney.
10,Madhya Pradesh,Weight Loss,Breakfast,"Jowar Upma (Indore 56 Dukan, No Oil)",170,6,25,5,4,Low,High,High,Mustard,"Jowar, Mixed vegetables, Mustard seeds, Curry leaves, Coriander",Vegetarian,,Prepare the no oil version with minimal oil and keep the portion small. Add lemon or coriander for freshness and skip fried accompaniments.,40 mins brisk walk or cycling,Keep the portion controlled and avoid fried sides or extra chutney.
11,Madhya Pradesh,Weight Loss,Breakfast,"Methi Chilla (Indore 56 Dukan, Minimal Oil)",179,7,25,5,4,Low,High,High,Legumes,"Gram flour, Methi leaves, Onion, Coriander, Spices",Vegetarian,,Prepare the minimal oil version with minimal oil and keep the portion small. Add lemon or coriander for freshness and skip fried accompaniments.,40 mins brisk walk or cycling,Keep the portion controlled and avoid fried sides or extra chutney. Contains legumes.
12,Madhya Pradesh,Weight Loss,Breakfast,"Methi Chilla (Indore 56 Dukan, No Oil)",170,7,25,5,4,Low,High,Medium,Legumes,"Gram flour, Methi leaves, Onion, Coriander, Spices",Vegetarian,,Prepare the no oil version with minimal oil and keep the portion small. Add lemon or coriander for freshness and skip fried accompaniments.,40 mins brisk walk or cycling,Keep the portion controlled and avoid fried sides or extra chutney. Contains legumes.
13,Madhya Pradesh,Weight Loss,Breakfast,"Moong Dal Chilla (Indore 56 Dukan, Minimal Oil)",179,7,25,5,4,Low,Low,Medium,Legumes,"Moong dal, Onion, Green chilli, Ginger, Coriander",Vegetarian,,Prepare the minimal oil version with minimal oil and keep the portion small. Add lemon or coriander for freshness and skip fried accompaniments.,40 mins brisk walk or cycling,Keep the portion controlled and avoid fried sides or extra chutney. Contains legumes.
14,Madhya Pradesh,Weight Loss,Breakfast,"Moong Dal Chilla (Indore 56 Dukan, No Oil)",170,7,25,5,4,Low,Low,Low,Legumes,"Moong dal, Onion, Green chilli, Ginger, Coriander",Vegetarian,,Prepare the no oil version with minimal oil and keep the portion small. Add lemon or coriander for freshness and skip fried accompaniments.,40 mins brisk walk or cycling,Keep the portion controlled and avoid fried sides or extra chutney. Contains legumes.
