id,state,diet_need,meal_type,meal_name,calories,protein_g,carbs_g,fat_g,fiber_g,glycemic_index,sodium_level,cholesterol_impact,allergens,base_ingredients,diet_type,meat_type,instructions,exercise_recommendation,medical_warning
1,Goa,Weight Loss,Breakfast,Alsanyache Tonak (No Oil; with poi),233,12,27,8,8,Medium,Medium,Medium,Safe,"black-eyed beans, tonak masala, onion, garlic, coconut, tamarind, potato",Vegetarian,,"Prepare alsanyache tonak in the no oil style with a with poi serving. Keep the recipe fully plant-based or vegetarian, using the traditional Goan masala and legumes/vegetables. Keep oil and salt low, and avoid extra rice, bread, ghee, or sugar.",20-30 minute brisk morning walk,Keep the portion small and avoid extra poee or rice
2,Goa,Weight Loss,Breakfast,Egg White Ros Omelette (No Yolks),300,25,35,5,4,Medium,Medium,Low,"Egg, Eggs, Gluten","Egg Whites, Chicken Broth, Wheat",Vegetarian,,Cook on non-stick surface without oil.,30 mins brisk walking,Monitor energy levels; do not starve
3,Goa,Weight Loss,Breakfast,Kalo Chana Usal (Dry),300,16,45,6,12,Low,Medium,Low,Safe,"Black Gram, Onion",Vegetarian,,Boil and sauté with minimal oil spray.,30 mins brisk walking,Monitor energy levels; do not starve
4,Goa,Weight Loss,Breakfast,Khatkatem (Minimal Oil; with poi),195,8,37,3,7,Low,Medium,Medium,Safe,"raw jackfruit, beetroot, pumpkin, raw banana, drumstick, coconut, teflam, turmeric",Vegetarian,,"Prepare khatkatem in the minimal oil style with a with poi serving. Keep the recipe fully plant-based or vegetarian, using the traditional Goan masala and legumes/vegetables. Keep oil and salt low, and avoid extra rice, bread, ghee, or sugar.",20-30 minute brisk morning walk,Keep the portion small and avoid extra poee or rice
5,Goa,Weight Loss,Breakfast,Moong Dal Chila (Goan spices),300,16,45,6,8,Medium,Medium,Low,Safe,"Moong Dal, Green Chilli",Vegetarian,,Cook on iron tawa with zero oil spray.,30 mins brisk walking,Monitor energy levels; do not starve
6,Goa,Weight Loss,Breakfast,Moong Gathi (Light Spice; with poi),228,9,33,4,7,Low,Medium,High,Safe,"sprouted moong, coconut, cumin, coriander, green chilli, curry leaves",Vegetarian,,"Prepare moong gathi in the light spice style with a with poi serving. Keep the recipe fully plant-based or vegetarian, using the traditional Goan masala and legumes/vegetables. Keep oil and salt low, and avoid extra rice, bread, ghee, or sugar.",20-30 minute brisk morning walk,Keep the portion small and avoid extra poee or rice
7,Goa,Weight Loss,Breakfast,Moong Gathi + 1 Poee,300,12,48,6,7,Medium,Medium,Low,Gluten,"Sprouted Green Gram, Wheat, Coconut",Vegetarian,,Use minimal coconut and avoid oil tempering to cut fats.,30 mins brisk walking,Monitor energy levels; do not starve
8,Goa,Weight Loss,Breakfast,Neer Dosa with Tomato Chutney,300,8,55,5,4,Medium,Medium,Low,Safe,"Rice, Coconut, Tomato",Vegetarian,,Spread thin on non-stick pan without oil.,30 mins brisk walking,Monitor energy levels; do not starve
9,Goa,Weight Loss,Breakfast,Oats Poha Goan Style,300,10,48,7,8,Low,Medium,Low,Mustard,"Oats, Onion, Mustard Seeds",Vegetarian,,Use minimal oil and maximize vegetables for fiber.,30 mins brisk walking,Monitor energy levels; do not starve
10,Goa,Weight Loss,Breakfast,Ragi Satva (No Sugar),300,8,60,3,9,Low,Medium,Low,Safe,"Finger Millet, Water",Vegetarian,,Cook slowly to extract natural starch without adding fat.,30 mins brisk walking,Monitor energy levels; do not starve
