id,state,diet_need,meal_type,meal_name,calories,protein_g,carbs_g,fat_g,fiber_g,glycemic_index,sodium_level,cholesterol_impact,allergens,base_ingredients,diet_type,meat_type,instructions,exercise_recommendation,medical_warning
17,Arunachal Pradesh,Weight Loss,Breakfast,Boiled Eggs and Dhekia (Fern) Salad,220,15,10,12,6,Low,Medium,Low,"Egg, Eggs","Eggs, Fiddlehead fern",Non-Vegetarian,Egg,Boil ferns thoroughly; toss with boiled eggs and lemon juice without oil.,cardio + HIIT,Cook ferns fully to remove toxins.
1,Arunachal Pradesh,Weight Loss,Breakfast,Buckwheat Khura with Steamed Squash,280,10,48,5,8,Low,Medium,Low,Gluten,"Buckwheat flour, Chayote squash",Vegetarian,,Cook buckwheat pancake on a dry pan; pair with steamed water-rich squash.,cardio + HIIT,Maintain caloric deficit.
34,Arunachal Pradesh,Weight Loss,Breakfast,"Dung Po (Thin, Chayote)",250,11,38,6,9,High,Low,Low,Safe,"Red Rice, Leaf Wrap, Steam, Chayote",Vegan,,"Prepare dung po in a thin style with chayote, using very little or no oil. Keep the portion small and pair it with greens or a clear broth.",Brisk walk or HIIT for 25–35 minutes.,Keep portions controlled and avoid extra oil.
35,Arunachal Pradesh,Weight Loss,Breakfast,"Gyapa Khazi (Steamed, Chayote)",236,5,31,7,10,High,Low,Low,Safe,"Rice, Ginger, Local Herbs, Vegetables, Chayote",Vegan,,"Prepare gyapa khazi in a steamed style with chayote, using very little or no oil. Keep the portion small and pair it with greens or a clear broth.",Brisk walk or HIIT for 25–35 minutes.,Keep portions controlled and avoid extra oil.
36,Arunachal Pradesh,Weight Loss,Breakfast,"Kharzi (Steamed, Lai Patta)",211,8,36,7,11,High,Low,Low,"Dairy, Gluten","Rice, Fermented Cheese, Local Herbs, Lai Patta",Vegan,,"Prepare kharzi in a steamed style with lai patta, using very little or no oil. Keep the portion small and pair it with greens or a clear broth.",Brisk walk or HIIT for 25–35 minutes.,Keep portions controlled and avoid extra oil.
39,Arunachal Pradesh,Weight Loss,Breakfast,"Kholam (Thin, Dhekia Greens)",147,7,23,3,10,High,Low,Low,Safe,"Rice, Bamboo Tube, Water, Dhekia Greens",Vegan,,"Prepare kholam in a thin style with dhekia greens, using very little or no oil. Keep the portion small and pair it with greens or a clear broth.",Brisk walk or HIIT for 25–35 minutes.,Keep portions controlled and avoid extra oil.
40,Arunachal Pradesh,Weight Loss,Breakfast,"Khura (Thin, Bamboo Shoot)",158,6,29,2,7,Low,Low,Low,Gluten,"Buckwheat Flour, Water, Herbs, Bamboo Shoot",Vegan,,"Prepare khura in a thin style with bamboo shoot, using very little or no oil. Keep the portion small and pair it with greens or a clear broth.",Brisk walk or HIIT for 25–35 minutes.,Keep portions controlled and avoid extra oil.
41,Arunachal Pradesh,Weight Loss,Breakfast,"Momos (Steamed, Bamboo Shoot)",146,6,26,2,10,Low,Low,Low,Gluten,"Flour Wrapper, Vegetable Or Lean Filling, Steam, Bamboo Shoot",Vegan,,"Prepare momos in a steamed style with bamboo shoot, using very little or no oil. Keep the portion small and pair it with greens or a clear broth.",Brisk walk or HIIT for 25–35 minutes.,Keep portions controlled and avoid extra oil. Contains gluten.
44,Arunachal Pradesh,Weight Loss,Breakfast,"Puta (Thin, Sprouted Lentils)",154,5,29,2,10,Low,Low,Low,"Gluten, Sesame","Buckwheat Noodles, Greens, Broth, Sprouted Lentils",Vegan,,"Prepare puta in a thin style with sprouted lentils, using very little or no oil. Keep the portion small and pair it with greens or a clear broth.",Brisk walk or HIIT for 25–35 minutes.,Keep portions controlled and avoid extra oil. Contains gluten.
10,Arunachal Pradesh,Weight Loss,Breakfast,Puta in Clear Veg Broth,240,8,45,3,7,Low,Medium,Low,Gluten,"Buckwheat noodles, Spinach",Vegetarian,,Boil buckwheat noodles in oil-free spinach broth.,cardio + HIIT,Do not add soy sauce.
11,Arunachal Pradesh,Weight Loss,Breakfast,Red Rice Chuk with Bamboo Shoot,180,4,38,1,5,Medium,Medium,Low,Safe,"Red rice, Bamboo shoot",Vegetarian,,Use nutrient-dense water from boiling red rice; add fresh bamboo shoot.,cardio + HIIT,Supplement with protein next meal.
12,Arunachal Pradesh,Weight Loss,Breakfast,Sprouted Soybean Salad,180,12,20,5,8,Low,Low,Low,Soy,"Soybean sprouts, Cucumber",Vegetarian,,Mix raw sprouts with heavy cucumber and lemon.,cardio + HIIT,Chew thoroughly.
13,Arunachal Pradesh,Weight Loss,Breakfast,Steamed Sweet Potato,200,3,45,1,6,Medium,Low,Low,Safe,Sweet potato,Vegetarian,,Steam local sweet potatoes with skin for fiber.,cardio + HIIT,Drink water to aid digestion.
47,Arunachal Pradesh,Weight Loss,Breakfast,"Thukpa (Thin, Pumpkin)",221,6,33,7,10,Low,Low,Low,Gluten,"Noodles, Vegetables, Broth, Pumpkin",Vegan,,"Prepare thukpa in a thin style with pumpkin, using very little or no oil. Keep the portion small and pair it with greens or a clear broth.",Brisk walk or HIIT for 25–35 minutes.,Keep portions controlled and avoid extra oil. Contains gluten.
15,Arunachal Pradesh,Weight Loss,Breakfast,Zan (Millet Porridge) with Boiled Lai Patta,250,8,45,4,9,Low,Medium,Low,Mustard,"Finger millet, Mustard greens",Vegetarian,,Boil millet flour in water until thick; serve with zero-oil boiled mustard greens.,cardio + HIIT,Ensure portion control.
48,Arunachal Pradesh,Weight Loss,Breakfast,"Zan (Thin, Lai Patta)",210,9,39,2,9,Low,Low,Low,Gluten,"Finger Millet Flour, Water, Local Greens, Lai Patta",Vegan,,"Prepare zan in a thin style with lai patta, using very little or no oil. Keep the portion small and pair it with greens or a clear broth.",Brisk walk or HIIT for 25–35 minutes.,Keep portions controlled and avoid extra oil.
65,Arunachal Pradesh,Weight Loss,Lunch,Brown Rice + Boiled Egg + Steamed Cabbage,380,16,60,8,10,High,Medium,Low,"Egg, Eggs","Brown rice, Eggs, Cabbage",Non-Vegetarian,Egg,Serve brown rice with oil-free boiled cabbage and eggs.,cardio + HIIT,Discard one yolk to save fats.
