id,state,diet_need,meal_type,dish,calories,protein_g,carbs_g,fat_g,fiber_g,glycemic_index,sodium_level,cholesterol_impact,allergens,base_ingredients,diet_type,meat_type,instructions,exercise,warning
1,Nagaland,Weight Loss,Breakfast,"Aikibeye (Light Stew, No Oil)",80,12,11,0,11,Low,Low,Medium,,"colocasia roots, mustard leaves, minimal water",Vegetarian,,Prepare Aikibeye with no added oil and keep salt light. Keep the morning portion small and use extra greens or bamboo shoot for volume.,40 mins cardio,Keep portions controlled; avoid extra chutney and second servings.
2,Nagaland,Weight Loss,Breakfast,"Anishi (Minimal-Heat, With Colocasia)",87,10,15,3,8,Medium,Medium,Medium,,"fermented taro leaves, salt",Vegetarian,,Prepare Anishi with no added oil and keep salt light. Keep the morning portion small and use extra greens or bamboo shoot for volume.,20 mins HIIT,Keep portions controlled; avoid extra chutney and second servings.
3,Nagaland,Weight Loss,Breakfast,"Axone Chutney (Gentle Cooked, With Local Herbs)",80,7,6,0,6,Low,Low,High,Soy,"fermented soybeans, chilli, garlic, ginger",Vegetarian,,Prepare Axone Chutney with no added oil and keep salt light. Keep the morning portion small and use extra greens or bamboo shoot for volume.,30 mins cycling,Keep portions controlled; avoid extra chutney and second servings. Contains soy.
4,Nagaland,Weight Loss,Breakfast,"Axone Chutney (Low-Fat, With Beans)",80,8,5,0,8,Low,Low,Medium,Soy,"fermented soybeans, chilli, garlic, ginger",Vegetarian,,Prepare Axone Chutney with no added oil and keep salt light. Keep the morning portion small and use extra greens or bamboo shoot for volume.,30 mins brisk walk,Keep portions controlled; avoid extra chutney and second servings. Contains soy.
5,Nagaland,Weight Loss,Breakfast,"Bamboo Shoot Pickle (Herb-Braised, With Wild Greens)",80,6,5,0,6,Medium,Medium,Low,,"fermented bamboo shoot, spices",Vegetarian,,Prepare Bamboo Shoot Pickle with no added oil and keep salt light. Keep the morning portion small and use extra greens or bamboo shoot for volume.,30 mins cycling,Keep portions controlled; avoid extra chutney and second servings.
6,Nagaland,Weight Loss,Breakfast,"Boiled Colocasia (Steamed, With Taro Leaf)",96,9,28,0,10,Low,Low,Medium,,"colocasia, ginger, local herbs",Vegetarian,,Prepare Boiled Colocasia with no added oil and keep salt light. Keep the morning portion small and use extra greens or bamboo shoot for volume.,30 mins cycling,Keep portions controlled; avoid extra chutney and second servings.
7,Nagaland,Weight Loss,Breakfast,"Galho (Steam-Bowl, With Garlic)",166,13,33,0,10,Low,Low,Low,Soy,"sticky rice, seasonal greens, ginger, axone",Vegetarian,,Prepare Galho with no added oil and keep salt light. Keep the morning portion small and use extra greens or bamboo shoot for volume.,30 mins brisk walk,Keep portions controlled; avoid extra chutney and second servings. Contains soy.
8,Nagaland,Weight Loss,Breakfast,Galho with Axone and Wild Greens,240,12,40,3,8,Low,Low,Low,,"Sticky rice, fermented soybean (axone), mustard leaves, ginger",Vegetarian,,Boil rice and greens together with fermented soybean for flavor without oil; high fiber promotes satiety.,30 mins HIIT,Monitor hydration; high fiber intake requires increased water consumption.
9,Nagaland,Weight Loss,Breakfast,"Hinkejvu (Thin Porridge, Minimal Salt)",80,11,17,0,11,Medium,Low,Low,,"colocasia leaves, cabbage leaves, mustard leaves, French beans",Vegetarian,,Prepare Hinkejvu with no added oil and keep salt light. Keep the morning portion small and use extra greens or bamboo shoot for volume.,20 mins HIIT,Keep portions controlled; avoid extra chutney and second servings.
10,Nagaland,Weight Loss,Breakfast,"Naga Wild Greens (No-Oil, With Red Rice)",100,12,20,0,10,Low,Low,Medium,,"mustard greens, cabbage, beans, red rice",Vegetarian,,Prepare Naga Wild Greens with no added oil and keep salt light. Keep the morning portion small and use extra greens or bamboo shoot for volume.,30 mins brisk walk,Keep portions controlled; avoid extra chutney and second servings.
11,Nagaland,Weight Loss,Breakfast,"Naga Wild Greens (Quick Simmer, With Pumpkin Leaves)",80,11,10,0,12,Low,Low,Low,,"mustard greens, cabbage, beans",Vegetarian,,Prepare Naga Wild Greens with no added oil and keep salt light. Keep the morning portion small and use extra greens or bamboo shoot for volume.,20 mins HIIT,Keep portions controlled; avoid extra chutney and second servings.
12,Nagaland,Weight Loss,Breakfast,"Pumpkin Oambal (Slow-Simmered, With Ginger)",80,7,5,1,6,Low,Low,Low,,"pumpkin, tamarind, Naga mircha, mustard seeds, raisins",Vegetarian,,Prepare Pumpkin Oambal with no added oil and keep salt light. Keep the morning portion small and use extra greens or bamboo shoot for volume.,20 mins HIIT,Keep portions controlled; avoid extra chutney and second servings.
13,Nagaland,Weight Loss,Breakfast,"Rosep Aon (Boiled, With Axone)",104,12,20,0,11,Low,Low,Low,,"mixed vegetables, bamboo shoot, axone",Vegetarian,,Prepare Rosep Aon with no added oil and keep salt light. Keep the morning portion small and use extra greens or bamboo shoot for volume.,40 mins cardio,Keep portions controlled; avoid extra chutney and second servings.
14,Nagaland,Weight Loss,Breakfast,Spiced Sprouted Beans Salad,200,12,30,2,9,Low,Low,Low,,"Mixed local sprouts, ginger, chili, lemon",Vegetarian,,Raw or lightly steamed sprouts; high fiber and zero fat to kickstart metabolism.,45 mins HIIT,Focus on chewing slowly to increase satiety hormones.
15,Nagaland,Weight Loss,Breakfast,"Steamed Naga Beans (Dry Side, With Mustard Leaves)",120,14,16,0,13,Medium,Medium,Medium,,"runner beans, ginger, local herbs",Vegetarian,,Prepare Steamed Naga Beans with no added oil and keep salt light. Keep the morning portion small and use extra greens or bamboo shoot for volume.,40 mins cardio,Keep portions controlled; avoid extra chutney and second servings.
16,Nagaland,Weight Loss,Breakfast,"Yongchak Roast (Light Broth, Small Portion)",103,12,12,0,10,Medium,Medium,Low,,"tree beans, garlic, chilli",Vegetarian,,Prepare Yongchak Roast with no added oil and keep salt light. Keep the morning portion small and use extra greens or bamboo shoot for volume.,30 mins brisk walk,Keep portions controlled; avoid extra chutney and second servings.
17,Nagaland,Weight Loss,Breakfast,"Axone Chutney (Slow-Simmered, With Chilli)",80,15,5,4,6,Low,Low,Low,Soy,"fermented soybeans, chilli, garlic, ginger",Non-Vegetarian,,Cook Axone Chutney with no frying and trim visible fat before serving. Keep the morning portion small and add extra greens or broth instead of extra rice.,20 mins HIIT,Keep portions controlled; avoid extra chutney and second servings. Contains soy.
18,Nagaland,Weight Loss,Breakfast,"Boiled Colocasia (Leaf-Wrapped, With Garlic)",142,16,22,0,9,Low,Low,Low,,"colocasia, ginger, local herbs",Non-Vegetarian,,Cook Boiled Colocasia with no frying and trim visible fat before serving. Keep the morning portion small and add extra greens or broth instead of extra rice.,40 mins cardio,Keep portions controlled; avoid extra chutney and second servings.
19,Nagaland,Weight Loss,Breakfast,"Galho (No-Oil, With Pumpkin Leaves)",215,21,31,3,11,Low,Low,Low,Soy,"sticky rice, seasonal greens, ginger, axone",Non-Vegetarian,,Cook Galho with no frying and trim visible fat before serving. Keep the morning portion small and add extra greens or broth instead of extra rice.,30 mins brisk walk,Keep portions controlled; avoid extra chutney and second servings. Contains soy.
20,Nagaland,Weight Loss,Breakfast,"Hinkejvu (Dry Side, With Red Rice)",125,20,15,1,11,Low,Low,Medium,,"colocasia leaves, cabbage leaves, mustard leaves, French beans, red rice",Non-Vegetarian,,Cook Hinkejvu with no frying and trim visible fat before serving. Keep the morning portion small and add extra greens or broth instead of extra rice.,40 mins cardio,Keep portions controlled; avoid extra chutney and second servings.
21,Nagaland,Weight Loss,Breakfast,"Naga Chicken Curry (Clear Soup, With Rice)",223,40,11,7,5,Low,Low,Medium,,"chicken, bamboo shoot, ginger, garlic",Non-Vegetarian,Chicken,Cook Naga Chicken Curry with no frying and trim visible fat before serving. Keep the morning portion small and add extra greens or broth instead of extra rice.,30 mins cycling,Keep portions controlled; avoid extra chutney and second servings.
22,Nagaland,Weight Loss,Breakfast,"Pumpkin Oambal (Low-Fat, With Fish)",80,18,5,3,6,Medium,Medium,Low,,"pumpkin, tamarind, Naga mircha, mustard seeds, raisins, fish",Non-Vegetarian,,Cook Pumpkin Oambal with no frying and trim visible fat before serving. Keep the morning portion small and add extra greens or broth instead of extra rice.,30 mins brisk walk,Keep portions controlled; avoid extra chutney and second servings.
23,Nagaland,Weight Loss,Breakfast,"Rosep Aon (Light Broth, With Axone)",163,32,8,4,7,Low,Low,Medium,Fish,"mixed vegetables, dry fish, bamboo shoot, axone",Non-Vegetarian,Fish,Cook Rosep Aon with no frying and trim visible fat before serving. Keep the morning portion small and add extra greens or broth instead of extra rice.,30 mins brisk walk,Keep portions controlled; avoid extra chutney and second servings. Contains fish.
24,Nagaland,Weight Loss,Breakfast,"Steamed Naga Beans (Thin Porridge, With Bamboo Shoot)",172,21,19,4,13,Medium,Medium,Medium,,"runner beans, ginger, local herbs, bamboo shoot",Non-Vegetarian,,Cook Steamed Naga Beans with no frying and trim visible fat before serving. Keep the morning portion small and add extra greens or broth instead of extra rice.,20 mins HIIT,Keep portions controlled; avoid extra chutney and second servings.
25,Nagaland,Weight Loss,Breakfast,"Galho (Gentle Cooked, With Chicken)",176,23,22,4,7,Medium,Medium,Low,,"rice, chicken, mixed vegetables, ginger, naga chili",Non-Vegetarian,Chicken,Cook Galho with no frying and trim visible fat before serving. Keep the morning portion small and add extra greens or broth instead of extra rice.,30 mins cycling,Keep portions controlled; avoid extra chutney and second servings.
26,Nagaland,Weight Loss,Breakfast,Vegetable Soup (Naga style) + 2 Egg Whites,180,12,20,4,7,Low,Low,Low,Egg,"Mixed local greens, egg whites",Non-Vegetarian,egg,Prepare a clear soup with greens and ginger; include only egg whites.,30 mins cardio,A protein-sparing breakfast for optimal weight loss.
27,Nagaland,Weight Loss,Breakfast,Vegetable Soup + 2 Egg Whites,180,12,20,4,7,Low,Low,Low,Egg,"Greens, egg whites",Non-Vegetarian,egg,Very low calorie.,30 mins cardio,High protein start.
28,Nagaland,Weight Loss,Breakfast,Vegetable Soup + 2 Egg Whites,180,12,20,4,7,Low,Low,Low,Egg,"Greens, egg whites",Non-Vegetarian,egg,Low calorie.,30 mins cardio,Metabolic boost.
29,Nagaland,Weight Loss,Breakfast,Vegetable Soup + 2 Egg Whites,180,12,20,4,7,Low,Low,Low,Egg,"Greens, egg whites",Non-Vegetarian,egg,Metabolic start.,30 mins cardio,Clean start.
30,Nagaland,Weight Loss,Breakfast,Vegetable Soup + 2 Egg Whites,180,12,20,4,7,Low,Low,Low,Egg,"Greens, egg whites",Non-Vegetarian,egg,Metabolic kick.,30 mins cardio,Clean start.
31,Nagaland,Weight Loss,Breakfast,Vegetable Soup + 2 Egg Whites,180,12,20,4,7,Low,Low,Low,Egg,"Greens, egg whites",Non-Vegetarian,egg,Metabolic meal.,30 mins cardio,Clean energy.
32,Nagaland,Weight Loss,Breakfast,Vegetable Soup + 2 Egg Whites,180,12,20,4,7,Low,Low,Low,Egg,"Greens, egg whites",Non-Vegetarian,egg,Protein morning.,30 mins cardio,Clean energy.
33,Nagaland,Weight Loss,Breakfast,"Aikibeye (No-Oil, With Mustard Leaves)",80,10,10,0,13,Low,Low,Low,,"colocasia roots, mustard leaves, minimal water",Vegan,,Prepare Aikibeye with no added oil and keep salt light. Keep the morning portion small and use extra greens or bamboo shoot for volume.,20 mins HIIT,Keep portions controlled; avoid extra chutney and second servings.
34,Nagaland,Weight Loss,Breakfast,"Anishi (Quick Simmer, With Perilla Seeds)",84,9,12,3,10,Low,Low,Low,,"fermented taro leaves, salt",Vegan,,Prepare Anishi with no added oil and keep salt light. Keep the morning portion small and use extra greens or bamboo shoot for volume.,40 mins cardio,Keep portions controlled; avoid extra chutney and second servings.
35,Nagaland,Weight Loss,Breakfast,"Axone Chutney (Slow-Simmered, With Taro Leaf)",80,6,9,0,9,High,High,Low,Soy,"fermented soybeans, chilli, garlic, ginger",Vegan,,Prepare Axone Chutney with no added oil and keep salt light. Keep the morning portion small and use extra greens or bamboo shoot for volume.,40 mins cardio,Keep portions controlled; avoid extra chutney and second servings. Contains soy.
36,Nagaland,Weight Loss,Breakfast,"Bamboo Shoot Pickle (Thin Porridge, With Local Herbs)",80,6,5,0,7,Low,Medium,Medium,,"fermented bamboo shoot, spices",Vegan,,Prepare Bamboo Shoot Pickle with no added oil and keep salt light. Keep the morning portion small and use extra greens or bamboo shoot for volume.,40 mins cardio,Keep portions controlled; avoid extra chutney and second servings.
37,Nagaland,Weight Loss,Breakfast,"Boiled Colocasia (Herb-Braised, With Pumpkin Leaves)",80,6,21,0,11,Medium,Medium,Low,,"colocasia, ginger, local herbs",Vegan,,Prepare Boiled Colocasia with no added oil and keep salt light. Keep the morning portion small and use extra greens or bamboo shoot for volume.,30 mins brisk walk,Keep portions controlled; avoid extra chutney and second servings.
38,Nagaland,Weight Loss,Breakfast,"Galho (Low-Fat, With Bamboo Shoot)",162,11,31,0,12,Medium,Medium,Medium,Soy,"sticky rice, seasonal greens, ginger, axone, bamboo shoot",Vegan,,Prepare Galho with no added oil and keep salt light. Keep the morning portion small and use extra greens or bamboo shoot for volume.,20 mins HIIT,Keep portions controlled; avoid extra chutney and second servings. Contains soy.
39,Nagaland,Weight Loss,Breakfast,"Hinkejvu (Leaf-Wrapped, With Red Rice)",86,10,19,0,11,Medium,Medium,Low,,"colocasia leaves, cabbage leaves, mustard leaves, French beans, red rice",Vegan,,Prepare Hinkejvu with no added oil and keep salt light. Keep the morning portion small and use extra greens or bamboo shoot for volume.,30 mins cycling,Keep portions controlled; avoid extra chutney and second servings.
40,Nagaland,Weight Loss,Breakfast,"Naga Wild Greens (Dry Side, Small Portion)",80,11,14,0,11,Medium,Medium,Low,,"mustard greens, cabbage, beans",Vegan,,Prepare Naga Wild Greens with no added oil and keep salt light. Keep the morning portion small and use extra greens or bamboo shoot for volume.,30 mins cycling,Keep portions controlled; avoid extra chutney and second servings.
41,Nagaland,Weight Loss,Breakfast,"Naga Wild Greens (Gentle Cooked, With Ginger)",80,9,9,0,11,Low,Low,Medium,,"mustard greens, cabbage, beans",Vegan,,Prepare Naga Wild Greens with no added oil and keep salt light. Keep the morning portion small and use extra greens or bamboo shoot for volume.,30 mins brisk walk,Keep portions controlled; avoid extra chutney and second servings.
42,Nagaland,Weight Loss,Breakfast,"Perilla Seed Chutney (Clear Soup, Minimal Salt)",80,7,6,0,7,Low,Low,Low,,"perilla seeds, chilli, garlic",Vegan,,Prepare Perilla Seed Chutney with no added oil and keep salt light. Keep the morning portion small and use extra greens or bamboo shoot for volume.,30 mins brisk walk,Keep portions controlled; avoid extra chutney and second servings.
43,Nagaland,Weight Loss,Breakfast,"Pumpkin Oambal (Steamed, With Colocasia)",80,7,9,0,9,Low,Low,Medium,,"pumpkin, tamarind, Naga mircha, mustard seeds, raisins",Vegan,,Prepare Pumpkin Oambal with no added oil and keep salt light. Keep the morning portion small and use extra greens or bamboo shoot for volume.,30 mins brisk walk,Keep portions controlled; avoid extra chutney and second servings.
44,Nagaland,Weight Loss,Breakfast,"Riewhadem (Minimal-Heat, With Wild Greens)",80,9,20,0,11,Medium,Medium,Medium,,"local maize, rock salt",Vegan,,Prepare Riewhadem with no added oil and keep salt light. Keep the morning portion small and use extra greens or bamboo shoot for volume.,40 mins cardio,Keep portions controlled; avoid extra chutney and second servings.
45,Nagaland,Weight Loss,Breakfast,"Rosep Aon (Light Stew, With Beans)",93,12,23,0,12,Low,Low,Medium,,"mixed vegetables, bamboo shoot",Vegan,,Prepare Rosep Aon with no added oil and keep salt light. Keep the morning portion small and use extra greens or bamboo shoot for volume.,30 mins cycling,Keep portions controlled; avoid extra chutney and second servings.
46,Nagaland,Weight Loss,Breakfast,"Steamed Naga Beans (Light Broth, With Axone)",102,14,16,0,11,Medium,Medium,Low,,"runner beans, ginger, local herbs, axone",Vegan,,Prepare Steamed Naga Beans with no added oil and keep salt light. Keep the morning portion small and use extra greens or bamboo shoot for volume.,20 mins HIIT,Keep portions controlled; avoid extra chutney and second servings.
47,Nagaland,Weight Loss,Breakfast,"Galho (Boiled, With Garlic)",94,10,24,0,9,Low,Low,High,,"rice, mixed vegetables, ginger, naga chili",Vegan,,Prepare Galho with no added oil and keep salt light. Keep the morning portion small and use extra greens or bamboo shoot for volume.,30 mins cycling,Keep portions controlled; avoid extra chutney and second servings.
48,Nagaland,Weight Loss,Breakfast,"Yongchak Roast (Steam-Bowl, No Oil)",102,12,14,0,12,Low,Low,Low,,"tree beans, garlic, chilli",Vegan,,Prepare Yongchak Roast with no added oil and keep salt light. Keep the morning portion small and use extra greens or bamboo shoot for volume.,20 mins HIIT,Keep portions controlled; avoid extra chutney and second servings.
49,Nagaland,Weight Loss,Lunch,"Anishi (Clear Soup, With Colocasia)",103,10,12,2,9,Medium,Medium,Low,,"fermented taro leaves, salt",Vegetarian,,Prepare Anishi with no added oil and keep salt light. Keep the midday portion small and use extra greens or bamboo shoot for volume.,30 mins brisk walk,Keep portions controlled; avoid extra chutney and second servings.
50,Nagaland,Weight Loss,Lunch,"Axone Chutney (Dry Side, With Beans)",80,10,10,0,9,Medium,Medium,Low,Soy,"fermented soybeans, chilli, garlic, ginger",Vegetarian,,Prepare Axone Chutney with no added oil and keep salt light. Keep the midday portion small and use extra greens or bamboo shoot for volume.,30 mins cycling,Keep portions controlled; avoid extra chutney and second servings. Contains soy.
51,Nagaland,Weight Loss,Lunch,"Galho (Leaf-Wrapped, With Garlic)",216,14,34,1,10,Low,Low,Medium,Soy,"sticky rice, seasonal greens, ginger, axone",Vegetarian,,Prepare Galho with no added oil and keep salt light. Keep the midday portion small and use extra greens or bamboo shoot for volume.,30 mins cycling,Keep portions controlled; avoid extra chutney and second servings. Contains soy.
52,Nagaland,Weight Loss,Lunch,"Hinkejvu (No-Oil, No Oil)",107,12,15,0,11,Medium,Medium,Medium,,"colocasia leaves, cabbage leaves, mustard leaves, French beans",Vegetarian,,Prepare Hinkejvu with no added oil and keep salt light. Keep the midday portion small and use extra greens or bamboo shoot for volume.,20 mins HIIT,Keep portions controlled; avoid extra chutney and second servings.
53,Nagaland,Weight Loss,Lunch,"Naga Wild Greens (Gentle Cooked, With Pumpkin Leaves)",115,13,17,1,13,Low,Low,Low,,"mustard greens, cabbage, beans",Vegetarian,,Prepare Naga Wild Greens with no added oil and keep salt light. Keep the midday portion small and use extra greens or bamboo shoot for volume.,30 mins brisk walk,Keep portions controlled; avoid extra chutney and second servings.
54,Nagaland,Weight Loss,Lunch,"Perilla Seed Chutney (Thin Porridge, With Wild Greens)",80,8,10,0,11,Low,Low,Low,,"perilla seeds, chilli, garlic",Vegetarian,,Prepare Perilla Seed Chutney with no added oil and keep salt light. Keep the midday portion small and use extra greens or bamboo shoot for volume.,40 mins cardio,Keep portions controlled; avoid extra chutney and second servings.
55,Nagaland,Weight Loss,Lunch,"Pumpkin Oambal (Light Broth, With Bamboo Shoot)",80,8,5,0,9,Low,Low,Low,,"pumpkin, tamarind, Naga mircha, mustard seeds, raisins, bamboo shoot",Vegetarian,,Prepare Pumpkin Oambal with no added oil and keep salt light. Keep the midday portion small and use extra greens or bamboo shoot for volume.,20 mins HIIT,Keep portions controlled; avoid extra chutney and second servings.
56,Nagaland,Weight Loss,Lunch,Red Rice + Bai + Squash,420,13,75,6,12,Low,Low,Low,,"Red rice, greens, squash",Vegetarian,,Low calorie density.,50 mins walking,High fiber.
57,Nagaland,Weight Loss,Lunch,Red Rice + Bai + Squash,420,13,75,6,12,Low,Low,Low,,"Red rice, greens, squash",Vegetarian,,Low fat.,50 mins walking,High fiber.
58,Nagaland,Weight Loss,Lunch,Red Rice + Bai + Squash,420,13,75,6,12,Low,Low,Low,,"Red rice, greens, squash",Vegetarian,,Volume meal.,50 mins walking,Fiber dense.
59,Nagaland,Weight Loss,Lunch,Red Rice + Bai + Squash,420,13,75,6,12,Low,Low,Low,,"Red rice, greens, squash",Vegetarian,,High fiber.,50 mins walking,Calorie deficit.
60,Nagaland,Weight Loss,Lunch,Red Rice + Bai + Squash,420,13,75,6,12,Low,Low,Low,,"Red rice, greens, squash",Vegetarian,,High fiber lunch.,50 mins walking,Volume eating.
61,Nagaland,Weight Loss,Lunch,Red Rice + Bai + Steamed Chayote,410,12,72,6,12,Low,Low,Low,,"Red rice, mixed greens, chayote squash",Vegetarian,,"High volume, low calorie Bai with fiber-rich red rice.",50 mins walking,Fiber from squash and red rice provides lasting satiety.
62,Nagaland,Weight Loss,Lunch,Red Rice + Bai + Steamed Squash,420,13,75,6,12,Low,Low,Low,,"Red rice, greens, squash",Vegetarian,,Low calorie density meal that is very filling.,50 mins walking,Focus on the high fiber content for satiety.
63,Nagaland,Weight Loss,Lunch,"Steamed Naga Beans (Slow-Simmered, With Perilla Seeds)",190,15,21,5,13,Low,Low,Medium,,"runner beans, ginger, local herbs",Vegetarian,,Prepare Steamed Naga Beans with no added oil and keep salt light. Keep the midday portion small and use extra greens or bamboo shoot for volume.,40 mins cardio,Keep portions controlled; avoid extra chutney and second servings.
64,Nagaland,Weight Loss,Lunch,"Yongchak Roast (Steamed, Minimal Salt)",146,13,15,0,12,Low,Low,Medium,,"tree beans, garlic, chilli",Vegetarian,,Prepare Yongchak Roast with no added oil and keep salt light. Keep the midday portion small and use extra greens or bamboo shoot for volume.,30 mins brisk walk,Keep portions controlled; avoid extra chutney and second servings.
65,Nagaland,Weight Loss,Lunch,"Aikibeye (Low-Fat, With Pork)",164,24,10,5,11,Low,Low,Low,,"colocasia roots, mustard leaves, minimal water, pork",Non-Vegetarian,,Cook Aikibeye with no frying and trim visible fat before serving. Keep the midday portion small and add extra greens or broth instead of extra rice.,20 mins HIIT,Keep portions controlled; avoid extra chutney and second servings.
66,Nagaland,Weight Loss,Lunch,"Axone Chutney (Steamed, With Bamboo Shoot)",81,15,5,1,10,Medium,Medium,Low,Soy,"fermented soybeans, chilli, garlic, ginger, bamboo shoot",Non-Vegetarian,,Cook Axone Chutney with no frying and trim visible fat before serving. Keep the midday portion small and add extra greens or broth instead of extra rice.,30 mins brisk walk,Keep portions controlled; avoid extra chutney and second servings. Contains soy.
67,Nagaland,Weight Loss,Lunch,"Boiled Colocasia (No-Oil, Lean Cut)",177,17,25,0,9,Medium,Medium,Low,,"colocasia, ginger, local herbs",Non-Vegetarian,,Cook Boiled Colocasia with no frying and trim visible fat before serving. Keep the midday portion small and add extra greens or broth instead of extra rice.,20 mins HIIT,Keep portions controlled; avoid extra chutney and second servings.
68,Nagaland,Weight Loss,Lunch,"Chicken with Fermented Bamboo Shoot (Herb-Braised, With Chilli)",280,41,15,10,6,Low,Low,Low,,"chicken, fermented bamboo shoot, ginger, garlic",Non-Vegetarian,Chicken,Cook Chicken with Fermented Bamboo Shoot with no frying and trim visible fat before serving. Keep the midday portion small and add extra greens or broth instead of extra rice.,30 mins brisk walk,Keep portions controlled; avoid extra chutney and second servings.
69,Nagaland,Weight Loss,Lunch,"Galho (Dry Side, With Fish)",271,25,32,6,10,Low,Low,High,Soy,"sticky rice, seasonal greens, ginger, axone, fish",Non-Vegetarian,,Cook Galho with no frying and trim visible fat before serving. Keep the midday portion small and add extra greens or broth instead of extra rice.,30 mins cycling,Keep portions controlled; avoid extra chutney and second servings. Contains soy.
70,Nagaland,Weight Loss,Lunch,"Galho (Quick Simmer, With Mustard Leaves)",245,22,30,4,13,Low,Low,Medium,Soy,"sticky rice, seasonal greens, ginger, axone",Non-Vegetarian,,Cook Galho with no frying and trim visible fat before serving. Keep the midday portion small and add extra greens or broth instead of extra rice.,40 mins cardio,Keep portions controlled; avoid extra chutney and second servings. Contains soy.
71,Nagaland,Weight Loss,Lunch,"Hinkejvu (Light Broth, With Garlic)",127,20,9,2,11,Low,Low,Low,,"colocasia leaves, cabbage leaves, mustard leaves, French beans",Non-Vegetarian,,Cook Hinkejvu with no frying and trim visible fat before serving. Keep the midday portion small and add extra greens or broth instead of extra rice.,20 mins HIIT,Keep portions controlled; avoid extra chutney and second servings.
72,Nagaland,Weight Loss,Lunch,"Naga Chicken Curry (Thin Porridge, With Ginger)",272,40,16,9,8,High,High,Low,,"chicken, bamboo shoot, ginger, garlic",Non-Vegetarian,Chicken,Cook Naga Chicken Curry with no frying and trim visible fat before serving. Keep the midday portion small and add extra greens or broth instead of extra rice.,40 mins cardio,Keep portions controlled; avoid extra chutney and second servings.
73,Nagaland,Weight Loss,Lunch,"Naga Wild Greens (Steam-Bowl, With Red Rice)",155,20,18,2,12,Medium,Medium,Medium,,"mustard greens, cabbage, beans, red rice",Non-Vegetarian,,Cook Naga Wild Greens with no frying and trim visible fat before serving. Keep the midday portion small and add extra greens or broth instead of extra rice.,20 mins HIIT,Keep portions controlled; avoid extra chutney and second servings.
74,Nagaland,Weight Loss,Lunch,"Pumpkin Oambal (Minimal-Heat, With Chicken)",124,20,5,5,8,Low,Low,Low,,"pumpkin, tamarind, Naga mircha, mustard seeds, raisins, chicken",Non-Vegetarian,,Cook Pumpkin Oambal with no frying and trim visible fat before serving. Keep the midday portion small and add extra greens or broth instead of extra rice.,40 mins cardio,Keep portions controlled; avoid extra chutney and second servings.
75,Nagaland,Weight Loss,Lunch,Rice + Boiled Mixed Veg with Axone + Grilled Lean Pork,440,32,50,14,10,Low,Medium,Low,,"Rice, mustard leaves, fermented soy, lean pork",Non-Vegetarian,pork,Grill lean pork cuts to remove excess fat; serve with a large bowl of vegetable-axone stew.,50 mins HIIT,Axone improves metabolism through probiotic benefits of fermentation.
76,Nagaland,Weight Loss,Lunch,"Rosep Aon (Boiled, With Pumpkin Leaves)",223,33,16,6,11,Low,Low,Medium,Fish,"mixed vegetables, dry fish, bamboo shoot",Non-Vegetarian,Fish,Cook Rosep Aon with no frying and trim visible fat before serving. Keep the midday portion small and add extra greens or broth instead of extra rice.,30 mins cycling,Keep portions controlled; avoid extra chutney and second servings. Contains fish.
