id,state,diet_need,meal_type,dish,calories,protein_g,carbs_g,fat_g,fiber_g,glycemic_index,sodium_level,cholesterol_impact,allergens,base_ingredients,diet_type,meat_type,instructions,exercise,warning
1,Sikkim,Weight Loss,Breakfast,Boiled Kinema + Green Tea,170,14,20,4,7,Low,Low,Low,Soy,"Fermented soybeans, tea",Vegetarian,,Protein-rich start.,30 mins HIIT,Kinema is highly nutritious.
2,Sikkim,Weight Loss,Breakfast,Boiled Kinema + Green Tea,170,14,20,4,7,Low,Low,Low,Soy,"Fermented soybeans, tea",Vegetarian,,Protein rich.,30 mins HIIT,Nutritious.
3,Sikkim,Weight Loss,Breakfast,Boiled Kinema with Tomato + Black Tea,180,15,22,4,8,Low,Low,Low,Soy,"Fermented soybeans, tomato, ginger, garlic",Vegetarian,,Boil fermented soybeans with tomato instead of tempering with oil. High protein and fiber promote satiety.,30 mins HIIT,Ensure Kinema is properly fermented for digestive ease.
4,Sikkim,Weight Loss,Breakfast,"Dhindo (Buckwheat, with Gundruk, Thick, Home Style)",218,7,50,3,7,Medium,Medium,Medium,,"buckwheat flour, water",Vegetarian,,Stir the flour into boiling water until thick and serve with the listed side. Keep ghee out for lighter diets.,30 mins brisk walk or interval walk,Keep portions controlled and avoid extra oil or ghee.
5,Sikkim,Weight Loss,Breakfast,"Dhindo (Buckwheat, with Gundruk, Thick, Village Style)",226,6,48,3,6,Medium,Medium,Medium,,"buckwheat flour, water",Vegetarian,,Stir the flour into boiling water until thick and serve with the listed side. Keep ghee out for lighter diets.,30 mins brisk walk or interval walk,Keep portions controlled and avoid extra oil or ghee.
6,Sikkim,Weight Loss,Breakfast,"Gundruk ko jhol (Light Broth, with Radish, No Oil, Small Bowl)",85,3,7,4,8,Medium,Medium,Medium,,"gundruk, tomato, garlic, radish, mustard greens",Vegetarian,,Boil the greens or fermented leaves in water with garlic and finish lightly. Avoid extra oil and heavy seasoning.,30 mins brisk walk or interval walk,Keep portions controlled and avoid extra oil or ghee.
7,Sikkim,Weight Loss,Breakfast,"Kinema curry (Tomato Tempering, with Greens, Regular Curry)",150,9,12,5,6,Medium,Medium,Medium,Soy,"kinema, tomato, ginger, garlic, with greens",Vegetarian,,Cook the fermented soybeans with tomato and ginger using a light tempering. Keep the curry simple to match the diet goal.,30 mins brisk walk or interval walk,Keep portions controlled and avoid extra oil or ghee. Fermented soybean dishes may not suit everyone with sensitive digestion.
8,Sikkim,Weight Loss,Breakfast,"Kodo ko roti (Small Roti, with Gundruk, Soft, No Ghee)",155,3,27,4,3,Medium,Medium,Medium,,"finger millet flour, water",Vegetarian,,Roast the roti on a dry pan and serve it with the listed side. Use minimal or no ghee for a healthier plate.,30 mins brisk walk or interval walk,Keep portions controlled and avoid extra oil or ghee. Contains gluten unless a special millet/buckwheat wrapper or flour is used.
9,Sikkim,Weight Loss,Breakfast,"Momo (Steamed, Vegetable Filling, Whole Wheat Wrapper, with Ginger Dip)",194,8,35,7,6,Medium,Medium,Medium,Gluten,"wheat flour, mixed vegetables, cabbage, onion, ginger, garlic",Vegetarian,,Steam the dumplings and keep the filling vegetable filling. Avoid frying and use the stated wrapper and dip.,30 mins brisk walk or interval walk,Keep portions controlled and avoid extra oil or ghee. Contains gluten unless a special millet/buckwheat wrapper or flour is used.
10,Sikkim,Weight Loss,Breakfast,"Phapar ko roti (Small Roti, with Gundruk, Soft, No Ghee)",150,6,25,2,4,Medium,Medium,Medium,,"buckwheat flour, water",Vegetarian,,Roast the roti on a dry pan and serve it with the listed side. Use minimal or no ghee for a healthier plate.,30 mins brisk walk or interval walk,Keep portions controlled and avoid extra oil or ghee. Contains gluten unless a special millet/buckwheat wrapper or flour is used.
11,Sikkim,Weight Loss,Breakfast,"Sinki soup (Light Broth, with Radish, No Oil, Regular Bowl)",81,4,7,4,4,Medium,Medium,Medium,,"sinki, tomato, garlic, ginger, radish",Vegetarian,,Boil the greens or fermented leaves in water with garlic and finish lightly. Avoid extra oil and heavy seasoning.,30 mins brisk walk or interval walk,Keep portions controlled and avoid extra oil or ghee.
12,Sikkim,Weight Loss,Breakfast,"Sinki soup (Light Broth, with Radish, No Oil, Small Bowl)",79,5,7,2,6,Medium,Medium,Medium,,"sinki, tomato, garlic, ginger, radish",Vegetarian,,Boil the greens or fermented leaves in water with garlic and finish lightly. Avoid extra oil and heavy seasoning.,30 mins brisk walk or interval walk,Keep portions controlled and avoid extra oil or ghee.
13,Sikkim,Weight Loss,Breakfast,"Sishnu ko soup (Clear Broth, with Garlic, No Oil, Regular Bowl)",70,7,6,1,8,Medium,Medium,Medium,,"nettles, garlic, black salt, lemon",Vegetarian,,Boil the greens or fermented leaves in water with garlic and finish lightly. Avoid extra oil and heavy seasoning.,30 mins brisk walk or interval walk,Keep portions controlled and avoid extra oil or ghee.
14,Sikkim,Weight Loss,Breakfast,"Sishnu ko soup (Clear Broth, with Garlic, No Oil, Small Bowl)",80,6,13,3,6,Medium,Medium,Medium,,"nettles, garlic, black salt, lemon",Vegetarian,,Boil the greens or fermented leaves in water with garlic and finish lightly. Avoid extra oil and heavy seasoning.,30 mins brisk walk or interval walk,Keep portions controlled and avoid extra oil or ghee.
15,Sikkim,Weight Loss,Breakfast,"Thukpa (Clear Broth, Mixed Vegetables, Hand-pulled Noodles, with Greens)",210,7,34,6,6,Medium,Medium,Medium,Gluten,"noodles, mixed vegetables, cabbage, carrot, onion, ginger, garlic, broth",Vegetarian,,Simmer the thukpa broth gently and keep oil minimal. Use the stated noodle style and filling or protein.,30 mins brisk walk or interval walk,Keep portions controlled and avoid extra oil or ghee. Contains gluten unless a special millet/buckwheat wrapper or flour is used.
16,Sikkim,Weight Loss,Breakfast,"Tsampa porridge (Water-based, Roasted Barley, Warm Bowl, No Sugar)",191,7,28,1,8,Medium,Medium,Medium,Gluten,"roasted barley flour, water",Vegetarian,,Whisk the roasted barley flour into hot liquid and keep the bowl simple. Make it thinner for lighter meals and thicker for gain.,30 mins brisk walk or interval walk,Keep portions controlled and avoid extra oil or ghee.
17,Sikkim,Weight Loss,Breakfast,"Boiled Eggs (2 whites, 1 whole) + Black Tea",130,13,2,8,0,Low,Medium,Medium,Egg,"Eggs, tea",Non-Vegetarian,egg,"High protein, low calorie.",30 mins HIIT,Keeps you full without carbs.
18,Sikkim,Weight Loss,Breakfast,Boiled Eggs + Black Tea,130,13,2,8,0,Low,Medium,Medium,Egg,"Eggs, tea",Non-Vegetarian,egg,Low calorie protein.,30 mins HIIT,Fat burn.
19,Sikkim,Weight Loss,Breakfast,Green Tea + 1 Boiled Egg + 1 Apple,160,7,25,5,4,Low,Low,Low,Egg,"Tea, egg, apple",Non-Vegetarian,egg,Metabolism-boosting green tea with protein and fiber.,30 mins HIIT,Keeps calorie intake very low.
20,Sikkim,Weight Loss,Breakfast,Green Tea + Egg + Apple,160,7,25,5,4,Low,Low,Low,Egg,"Tea, egg, apple",Non-Vegetarian,egg,Low calorie.,30 mins HIIT,Metabolism.
21,Sikkim,Weight Loss,Breakfast,"Momo (Steamed, Vegetable Filling, Whole Wheat Wrapper, with Light Broth)",226,12,30,7,4,Medium,Medium,Medium,Gluten,"wheat flour, chicken, cabbage, onion, ginger, garlic, pepper",Non-Vegetarian,Chicken,Steam the dumplings and keep the filling vegetable filling. Avoid frying and use the stated wrapper and dip.,30 mins brisk walk or interval walk,Keep portions controlled and avoid extra oil or ghee. Contains gluten unless a special millet/buckwheat wrapper or flour is used.
22,Sikkim,Weight Loss,Breakfast,"Momo (Steamed, Vegetable Filling, Whole Wheat Wrapper, with Nettle Soup)",222,15,30,5,4,Medium,Medium,Medium,Gluten,"wheat flour, chicken, cabbage, onion, ginger, garlic, pepper",Non-Vegetarian,Chicken,Steam the dumplings and keep the filling vegetable filling. Avoid frying and use the stated wrapper and dip.,30 mins brisk walk or interval walk,Keep portions controlled and avoid extra oil or ghee. Contains gluten unless a special millet/buckwheat wrapper or flour is used.
