id,state,diet_need,meal_type,dish,calories,protein_g,carbs_g,fat_g,fiber_g,glycemic_index,sodium_level,cholesterol_impact,allergens,base_ingredients,diet_type,meat_type,instructions,exercise,warning
1,Haryana,Weight Loss,Breakfast,"Bajra Raab (No Oil, With Jau Daliya, Hand Pounded)",232,8,36,6,7,Low,Low,Low,,"Pearl Millet, Water/Buttermilk, Cumin",Vegetarian,,Slow-cook until soft and homogeneous. Use minimal oil and keep the portion small. Use the traditional vegetarian version.,30 mins brisk walking,Keep portions controlled; avoid second servings.
2,Haryana,Weight Loss,Breakfast,Bajra Raabdi (No Ghee),240,7,42,4,7,Low,Medium,Low,Dairy,"Pearl Millet, Buttermilk",Vegetarian,,Slow cook bajra in buttermilk without ghee tempering.,30 mins brisk walking,Avoid if bloated
3,Haryana,Weight Loss,Breakfast,"Bajre Ki Khichdi (Steam Cooked, Breakfast Portion, Family Recipe)",222,7,33,7,5,Low,Low,Low,,"Bajra, Moong Dal, Cumin, Spices",Vegetarian,,Slow-cook until soft and homogeneous. Use minimal oil and keep the portion small. Use the traditional vegetarian version.,30 mins brisk walking,Keep portions controlled; avoid second servings.
4,Haryana,Weight Loss,Breakfast,"Bathua Roti (Low Oil, Light Serve, Slow Cooked)",241,16,28,7,5,Low,Low,Low,Gluten,"Wheat Flour, Bathua Leaves, Spices",Vegetarian,,Prepare a thin batter or dough and cook on a hot tawa. Use minimal oil and keep the portion small. Use the traditional vegetarian version.,30 mins brisk walking,Keep portions controlled; avoid second servings.
5,Haryana,Weight Loss,Breakfast,Bathua Roti + Chaach,280,10,48,4,8,Low,Medium,Low,"Dairy, Gluten","Wheat, Bathua Leaves, Buttermilk",Vegetarian,,Knead bathua into dough; roast without ghee.,30 mins brisk walking,No specific warning
6,Haryana,Weight Loss,Breakfast,Besan Chilla (No Oil),220,12,35,4,6,Medium,Medium,Low,,"Gram Flour, Onion, Chilli",Vegetarian,,Cook on a non-stick pan using zero oil spray.,30 mins brisk walking,Ensure hydration
7,Haryana,Weight Loss,Breakfast,"Besan Chilla (Thin Gravy, Light Serve)",209,16,20,7,8,Medium,Medium,Medium,Gluten,"Besan/Moong Dal, Onion, Coriander, Spices",Vegetarian,,Prepare a thin batter or dough and cook on a hot tawa. Use minimal oil and keep the portion small. Use the traditional vegetarian version.,30 mins brisk walking,Keep portions controlled; avoid second servings.
8,Haryana,Weight Loss,Breakfast,Jau (Barley) Daliya,250,8,45,4,8,Low,Medium,Low,Gluten,"Barley, Water, Buttermilk",Vegetarian,,Cook without ghee; use buttermilk for flavor.,30 mins brisk walking,Monitor energy levels
9,Haryana,Weight Loss,Breakfast,"Jau Daliya (Thin Gravy, Breakfast Portion)",230,14,30,6,7,Medium,Medium,Medium,,"Barley, Onion, Spices, Vegetables",Vegetarian,,Slow-cook until soft and homogeneous. Use minimal oil and keep the portion small. Use the traditional vegetarian version.,30 mins brisk walking,Keep portions controlled; avoid second servings.
10,Haryana,Weight Loss,Breakfast,"Jau Raab (Thin Gravy, One Plate)",222,10,28,8,5,Low,Low,Low,,"Barley, Water, Cumin",Vegetarian,,Slow-cook until soft and homogeneous. Use minimal oil and keep the portion small. Use the traditional vegetarian version.,30 mins brisk walking,Keep portions controlled; avoid second servings.
