id,state,diet_need,meal_type,dish,calories,protein_g,carbs_g,fat_g,fiber_g,glycemic_index,sodium_level,cholesterol_impact,allergens,base_ingredients,diet_type,meat_type,instructions,exercise,warning
1,Mizoram,Weight Loss,Breakfast,Bai (Boiled With Beans And Bamboo Shoot),150,7,16,3,6,Low,Low,Low,,"Rice, Seasonal Greens, Beans, Bamboo Shoot, Ginger",Vegetarian,,Steam or simmer bai with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
2,Mizoram,Weight Loss,Breakfast,Bai (Steamed With Bamboo Shoot And Mustard Greens),135,5,16,1,6,Low,Low,Low,,"Rice, Seasonal Greens, Bamboo Shoot, Mustard Greens, Ginger",Vegetarian,,Steam or simmer bai with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
3,Mizoram,Weight Loss,Breakfast,Boiled Corn (Leaf-Wrapped With Bamboo Shoot And Mustard Greens),195,6,35,5,4,Low,Low,Low,,"Corn, Bamboo Shoot, Mustard Greens",Vegetarian,,Steam or simmer boiled corn with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
4,Mizoram,Weight Loss,Breakfast,Boiled Corn (Simmered With Beans And Bamboo Shoot),210,5,35,4,4,Low,Low,Low,,"Corn, Beans, Bamboo Shoot",Vegetarian,,Steam or simmer boiled corn with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
5,Mizoram,Weight Loss,Breakfast,Chhangban (Lightly Steamed With Bamboo Shoot And Mustard Greens),205,6,36,5,5,Low,Low,Low,,"Sticky Rice Flour, Bamboo Shoot, Mustard Greens, Banana Leaf",Vegetarian,,Steam or simmer chhangban with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
6,Mizoram,Weight Loss,Breakfast,Chhangban (No Oil With Beans And Bamboo Shoot),195,5,36,4,5,Low,Low,Low,,"Sticky Rice Flour, Beans, Bamboo Shoot, Banana Leaf",Vegetarian,,Steam or simmer chhangban with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
7,Mizoram,Weight Loss,Breakfast,Millet Rice (Simmered With Bamboo Shoot And Mustard Greens),200,4,36,3,5,Low,Low,Low,,"Millet Rice, Bamboo Shoot, Mustard Greens, Local Herbs",Vegetarian,,Steam or simmer millet rice with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
8,Mizoram,Weight Loss,Breakfast,Millet Rice (Steamed With Pumpkin And Bamboo Shoot),215,6,36,5,5,Low,Low,Low,,"Millet Rice, Pumpkin, Bamboo Shoot, Local Herbs",Vegetarian,,Steam or simmer millet rice with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
9,Mizoram,Weight Loss,Breakfast,Phan (Leaf-Wrapped With Beans And Bamboo Shoot),175,3,30,1,5,Low,Low,Low,,"Sweet Potato, Beans, Bamboo Shoot",Vegetarian,,Steam or simmer phan with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
10,Mizoram,Weight Loss,Breakfast,Phan (Low Salt With Bamboo Shoot And Mustard Greens),185,4,30,2,5,Low,Low,Low,,"Sweet Potato, Bamboo Shoot, Mustard Greens",Vegetarian,,Steam or simmer phan with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
11,Mizoram,Weight Loss,Breakfast,Riewhadem (Low Salt With Beans And Bamboo Shoot),200,6,37,5,6,Low,Low,Low,,"Maize, Beans, Bamboo Shoot",Vegetarian,,Steam or simmer riewhadem with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
12,Mizoram,Weight Loss,Breakfast,Riewhadem (No Oil With Bamboo Shoot And Mustard Greens),210,4,37,3,6,Low,Low,Low,,"Maize, Bamboo Shoot, Mustard Greens",Vegetarian,,Steam or simmer riewhadem with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
13,Mizoram,Weight Loss,Breakfast,Sanpiau (Boiled With Bamboo Shoot And Mustard Greens),140,6,17,2,7,Low,Low,Low,,"Rice Porridge, Local Herbs, Bamboo Shoot, Mustard Greens, Ginger",Vegetarian,,Steam or simmer sanpiau with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
14,Mizoram,Weight Loss,Breakfast,Sanpiau (Lightly Steamed With Beans And Bamboo Shoot),155,5,17,1,7,Low,Low,Low,,"Rice Porridge, Local Herbs, Beans, Bamboo Shoot, Ginger",Vegetarian,,Steam or simmer sanpiau with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
15,Mizoram,Weight Loss,Breakfast,Sticky Rice (Boiled With Pumpkin And Bamboo Shoot),195,4,37,3,6,Low,Low,Low,,"Sticky Rice, Pumpkin, Bamboo Shoot, Sesame",Vegetarian,,Steam or simmer sticky rice with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
16,Mizoram,Weight Loss,Breakfast,Sticky Rice (Steamed With Beans And Bamboo Shoot),205,5,37,4,6,Low,Low,Low,,"Sticky Rice, Beans, Bamboo Shoot, Sesame",Vegetarian,,Steam or simmer sticky rice with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
17,Mizoram,Weight Loss,Breakfast,Arsa Buhchiar (Simmered With Beans And Bamboo Shoot),255,25,17,11,3,Low,Low,Low,,"Chicken, Rice, Beans, Bamboo Shoot, Ginger",Non-Vegetarian,Chicken,Steam or simmer arsa buhchiar with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
18,Mizoram,Weight Loss,Breakfast,Bai (Steamed With Pumpkin And Bamboo Shoot),260,23,18,9,4,Low,Low,Low,,"Rice, Seasonal Greens, Pumpkin, Bamboo Shoot, Ginger",Non-Vegetarian,Chicken,Steam or simmer bai with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
19,Mizoram,Weight Loss,Breakfast,Bawl (Leaf-Wrapped With Beans And Bamboo Shoot),275,24,20,10,6,Low,Low,Low,,"Small Fish, Beans, Bamboo Shoot, Local Herbs",Non-Vegetarian,Fish,Steam or simmer bawl with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
20,Mizoram,Weight Loss,Breakfast,Boiled Eggs And Nuts (No Oil With Beans And Bamboo Shoot),265,25,18,11,4,Low,Low,Low,Egg,"Egg, Nuts, Beans, Bamboo Shoot",Non-Vegetarian,,Steam or simmer boiled eggs and nuts with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Contains egg. Keep portions modest and avoid extra salt or oil.
21,Mizoram,Weight Loss,Breakfast,Chhangban (Low Salt With Beans And Bamboo Shoot),220,8,36,5,5,Low,Low,Low,,"Sticky Rice Flour, Beans, Bamboo Shoot, Banana Leaf",Non-Vegetarian,Chicken,Steam or simmer chhangban with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
22,Mizoram,Weight Loss,Breakfast,Chhum Han with Boiled Egg,210,13,32,3,6,Low,Low,Low,Egg,"Steamed mixed vegetables, country egg",Non-Vegetarian,,Steam local seasonal greens and cabbage with ginger; serve with a soft boiled egg for lean protein.,30 mins brisk walking,"Ensure vegetables are steamed, not sautéed, to keep fat content minimal."
23,Mizoram,Weight Loss,Breakfast,Sawhchiar (Lightly Steamed With Beans And Bamboo Shoot),260,24,17,10,3,Low,Low,Low,,"Rice, Chicken, Beans, Bamboo Shoot, Ginger",Non-Vegetarian,Chicken,Steam or simmer sawhchiar with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
24,Mizoram,Weight Loss,Breakfast,Vegetable Bai (Water based) + 1 Boiled Egg,190,10,22,7,8,Low,Low,Low,Egg,"Spinach, bamboo shoots, egg",Non-Vegetarian,,Focus on the fiber from Bai; egg provides the necessary morning protein.,30 mins cardio,Very low calorie breakfast to kickstart fat burning.
25,Mizoram,Weight Loss,Breakfast,Vegetable Soup (Mizo style) + 2 Egg Whites,180,12,20,4,7,Low,Low,Low,Egg,"Mixed local greens, egg whites",Non-Vegetarian,,Prepare a clear soup with greens and ginger; include only egg whites.,30 mins cardio,A protein-sparing breakfast for optimal weight loss.
26,Mizoram,Weight Loss,Breakfast,Vegetable Soup + 2 Egg Whites,180,12,20,4,7,Low,Low,Low,Egg,"Greens, egg whites",Non-Vegetarian,,Very low calorie.,30 mins cardio,High protein start.
27,Mizoram,Weight Loss,Breakfast,Vegetable Soup + 2 Egg Whites,180,12,20,4,7,Low,Low,Low,Egg,"Greens, egg whites",Non-Vegetarian,,Low calorie.,30 mins cardio,Metabolic boost.
28,Mizoram,Weight Loss,Breakfast,Vegetable Soup + 2 Egg Whites,180,12,20,4,7,Low,Low,Low,Egg,"Greens, egg whites",Non-Vegetarian,,Light start.,30 mins cardio,Clean energy.
29,Mizoram,Weight Loss,Breakfast,Vegetable Soup + 2 Egg Whites,180,12,20,4,7,Low,Low,Low,Egg,"Greens, egg whites",Non-Vegetarian,,Metabolic start.,30 mins cardio,Clean protein.
30,Mizoram,Weight Loss,Breakfast,Vegetable Soup + 2 Egg Whites,180,12,20,4,7,Low,Low,Low,Egg,"Greens, egg whites",Non-Vegetarian,,Metabolic kick.,30 mins cardio,Clean start.
31,Mizoram,Weight Loss,Breakfast,Vegetable Soup + 2 Egg Whites,180,12,20,4,7,Low,Low,Low,Egg,"Greens, egg whites",Non-Vegetarian,,Metabolic meal.,30 mins cardio,Clean energy.
32,Mizoram,Weight Loss,Breakfast,Vegetable Soup + 2 Egg Whites,180,12,20,4,7,Low,Low,Low,Egg,"Greens, egg whites",Non-Vegetarian,,Protein morning.,30 mins cardio,Clean energy.
33,Mizoram,Weight Loss,Breakfast,Bai (Low Salt With Chayote And Bamboo Shoot),140,7,16,2,7,Low,Low,Low,,"Rice, Seasonal Greens, Chayote, Bamboo Shoot, Ginger",Vegan,,Steam or simmer bai with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
34,Mizoram,Weight Loss,Breakfast,Bai (No Oil With Squash And Bamboo Shoot),150,5,16,1,7,Low,Low,Low,,"Rice, Seasonal Greens, Squash, Bamboo Shoot, Ginger",Vegan,,Steam or simmer bai with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
35,Mizoram,Weight Loss,Breakfast,Boiled Corn (Boiled With Chayote And Bamboo Shoot),210,6,35,4,5,Low,Low,Low,,"Corn, Chayote, Bamboo Shoot",Vegan,,Steam or simmer boiled corn with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
36,Mizoram,Weight Loss,Breakfast,Boiled Corn (Lightly Steamed With Mustard Greens And Bamboo Shoot),200,5,35,3,5,Low,Low,Low,,"Corn, Mustard Greens, Bamboo Shoot",Vegan,,Steam or simmer boiled corn with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
37,Mizoram,Weight Loss,Breakfast,Chhangban (Leaf-Wrapped With Squash And Bamboo Shoot),195,6,36,4,6,Low,Low,Low,,"Sticky Rice Flour, Squash, Bamboo Shoot, Banana Leaf",Vegan,,Steam or simmer chhangban with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
38,Mizoram,Weight Loss,Breakfast,Chhangban (Simmered With Chayote And Bamboo Shoot),210,5,36,3,6,Low,Low,Low,,"Sticky Rice Flour, Chayote, Bamboo Shoot, Banana Leaf",Vegan,,Steam or simmer chhangban with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
39,Mizoram,Weight Loss,Breakfast,Millet Rice (Boiled With Squash And Bamboo Shoot),200,5,36,3,6,Low,Low,Low,,"Millet Rice, Squash, Bamboo Shoot, Local Herbs",Vegan,,Steam or simmer millet rice with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
40,Mizoram,Weight Loss,Breakfast,Millet Rice (Lightly Steamed With Chayote And Bamboo Shoot),190,4,36,2,6,Low,Low,Low,,"Millet Rice, Chayote, Bamboo Shoot, Local Herbs",Vegan,,Steam or simmer millet rice with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
41,Mizoram,Weight Loss,Breakfast,Phan (Boiled With Mustard Greens And Bamboo Shoot),165,3,30,1,6,Low,Low,Low,,"Sweet Potato, Mustard Greens, Bamboo Shoot",Vegan,,Steam or simmer phan with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
42,Mizoram,Weight Loss,Breakfast,Phan (Steamed With Chayote And Bamboo Shoot),175,4,30,1,6,Low,Low,Low,,"Sweet Potato, Chayote, Bamboo Shoot",Vegan,,Steam or simmer phan with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
43,Mizoram,Weight Loss,Breakfast,Riewhadem (Simmered With Squash And Bamboo Shoot),200,4,37,2,7,Low,Low,Low,,"Maize, Squash, Bamboo Shoot",Vegan,,Steam or simmer riewhadem with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
44,Mizoram,Weight Loss,Breakfast,Riewhadem (Steamed With Mustard Greens And Bamboo Shoot),190,6,37,4,7,Low,Low,Low,,"Maize, Mustard Greens, Bamboo Shoot",Vegan,,Steam or simmer riewhadem with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
45,Mizoram,Weight Loss,Breakfast,Sanpiau (Leaf-Wrapped With Chayote And Bamboo Shoot),145,5,17,1,8,Low,Low,Low,,"Rice Porridge, Local Herbs, Chayote, Bamboo Shoot, Ginger",Vegan,,Steam or simmer sanpiau with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
46,Mizoram,Weight Loss,Breakfast,Sanpiau (Low Salt With Squash And Bamboo Shoot),130,6,17,1,8,Low,Low,Low,,"Rice Porridge, Local Herbs, Squash, Bamboo Shoot, Ginger",Vegan,,Steam or simmer sanpiau with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
47,Mizoram,Weight Loss,Breakfast,Sticky Rice (Lightly Steamed With Squash And Bamboo Shoot),205,6,37,4,7,Low,Low,Low,,"Sticky Rice, Squash, Bamboo Shoot, Sesame",Vegan,,Steam or simmer sticky rice with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
48,Mizoram,Weight Loss,Breakfast,Sticky Rice (No Oil With Chayote And Bamboo Shoot),195,5,37,3,7,Low,Low,Low,,"Sticky Rice, Chayote, Bamboo Shoot, Sesame",Vegan,,Steam or simmer sticky rice with minimal oil and keep the portion controlled. Pair it with a brisk walk after the meal and avoid extra rice or fried sides.,25–40 minutes of brisk walking or easy cycling after the meal.,Keep portions modest and avoid extra salt or oil.
