id,state,diet_need,meal_type,dish,calories,protein_g,carbs_g,fat_g,fiber_g,glycemic_index,sodium_level,cholesterol_impact,allergens,base_ingredients,diet_type,meat_type,instructions,exercise,warning
1,Meghalaya,Weight Loss,Breakfast,Ja Shulia (Light Spice; Weight Loss; Breakfast; Vegetarian),138,4,30,2,3,Low,Medium,Medium,,"sticky rice, water",Vegetarian,,Steam the sticky rice until soft and fluff it lightly. Keep the oil minimal and the portion controlled. This version stays vegetarian and uses local plant-based ingredients.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
2,Meghalaya,Weight Loss,Breakfast,Local Fruit Bowl (Half Portion; Weight Loss; Breakfast; Vegetarian),80,1,18,0,7,Medium,High,Medium,,"sohiong, sohshang, seasonal fruits",Vegetarian,,Serve the seasonal fruit fresh without added sugar. Keep the oil minimal and the portion controlled. This version stays vegetarian and uses local plant-based ingredients.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
3,Meghalaya,Weight Loss,Breakfast,Lungsiej (Quick Steam; Weight Loss; Breakfast; Vegetarian),50,3,6,2,4,Low,Medium,High,,"bamboo shoot, chili, spices",Vegetarian,,"Quick-pickle bamboo shoot with chili and spices, then serve as a side. Keep the oil minimal and the portion controlled. This version stays vegetarian and uses local plant-based ingredients.",30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
4,Meghalaya,Weight Loss,Breakfast,Me.kin/Sobok Chatni (Dry Roasted; Weight Loss; Breakfast; Vegetarian),88,2,11,3,7,Low,High,Medium,,"banana flower, herbs, chili",Vegetarian,,Pound banana flower with herbs and chili into a fresh chutney. Keep the oil minimal and the portion controlled. This version stays vegetarian and uses local plant-based ingredients.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
5,Meghalaya,Weight Loss,Breakfast,Pu-sla (Light Herbs; Weight Loss; Breakfast; Vegetarian),118,4,23,2,6,Low,Medium,Medium,,"rice flour, leaf wrap, water",Vegetarian,,Steam the rice cake in a traditional pot or leaf-lined steamer. Keep the oil minimal and the portion controlled. This version stays vegetarian and uses local plant-based ingredients.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
6,Meghalaya,Weight Loss,Breakfast,Pukhlein (Thin Serve; Weight Loss; Breakfast; Vegetarian),181,5,29,6,3,Medium,Low,High,,"rice flour, jaggery, oil",Vegetarian,,Prepare the rice cake with a light batter and shallow-fry briefly. Keep the oil minimal and the portion controlled. This version stays vegetarian and uses local plant-based ingredients.,30 minutes brisk walking or easy cycling,"Avoid deep-frying and keep portions controlled. This is richer than steamed rice-cake dishes, so keep the serving smaller."
7,Meghalaya,Weight Loss,Breakfast,Pumaloi (Portion Controlled; Weight Loss; Breakfast; Vegetarian),121,4,25,2,6,Medium,High,Low,,"ground rice, water, steam",Vegetarian,,Steam the rice cake in a traditional pot or leaf-lined steamer. Keep the oil minimal and the portion controlled. This version stays vegetarian and uses local plant-based ingredients.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
8,Meghalaya,Weight Loss,Breakfast,Pusaw (Minimal Oil; Weight Loss; Breakfast; Vegetarian),108,4,23,2,6,High,High,High,,"unpolished rice, water",Vegetarian,,Steam the rice cake in a traditional pot or leaf-lined steamer. Keep the oil minimal and the portion controlled. This version stays vegetarian and uses local plant-based ingredients.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
9,Meghalaya,Weight Loss,Breakfast,"Putharo (Steamed, No Oil; Weight Loss; Breakfast; Vegetarian)",123,5,28,3,7,Medium,Medium,High,,"rice flour, water, black sesame",Vegetarian,,Steam the rice cake in a traditional pot or leaf-lined steamer. Keep the oil minimal and the portion controlled. This version stays vegetarian and uses local plant-based ingredients.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
10,Meghalaya,Weight Loss,Breakfast,Red Rice with Bamboo Shoot and Herbs (Fresh and Light; Weight Loss; Breakfast; Vegetarian),151,5,29,2,7,Medium,Low,High,,"red rice, bamboo shoot, local herbs",Vegetarian,,Cook red rice with tender bamboo shoot and local herbs using very little oil. Keep the oil minimal and the portion controlled. This version stays vegetarian and uses local plant-based ingredients.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
11,Meghalaya,Weight Loss,Breakfast,Roasted Maize (Leaf Wrapped; Weight Loss; Breakfast; Vegetarian),106,4,25,2,6,Medium,Medium,High,,local maize,Vegetarian,,Dry-roast the maize over fire and season lightly. Keep the oil minimal and the portion controlled. This version stays vegetarian and uses local plant-based ingredients.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
12,Meghalaya,Weight Loss,Breakfast,Shaw Saw (Simple Prep; Weight Loss; Breakfast; Vegetarian),5,0,3,0,1,High,Medium,Medium,,"red tea leaves, water",Vegetarian,,Brew the red tea without sugar and serve it hot. Keep the oil minimal and the portion controlled. This version stays vegetarian and uses local plant-based ingredients.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
13,Meghalaya,Weight Loss,Breakfast,Shillong Aloo Muri/Chana (Small Bowl; Weight Loss; Breakfast; Vegetarian),136,6,23,3,8,High,High,High,,"boiled potato, puffed rice, chana, onion, chili, lemon",Vegetarian,,"Toss boiled potato or chana with puffed rice, onion, chili, and lemon. Keep the oil minimal and the portion controlled. This version stays vegetarian and uses local plant-based ingredients.",30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
14,Meghalaya,Weight Loss,Breakfast,Sohphlang with Perilla Seed Dip (High Fibre; Weight Loss; Breakfast; Vegetarian),93,4,14,5,8,Low,High,High,,"sohphlang root, perilla seeds, chili",Vegetarian,,Serve the root raw or lightly boiled with crushed perilla seeds. Keep the oil minimal and the portion controlled. This version stays vegetarian and uses local plant-based ingredients.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
15,Meghalaya,Weight Loss,Breakfast,Steamed Wild Greens with Sesame (Low Fat; Weight Loss; Breakfast; Vegetarian),86,6,8,6,8,High,Low,High,sesame,"wild greens, sesame seeds, herbs",Vegetarian,,Steam or lightly sauté the greens with sesame seeds and herbs. Keep the oil minimal and the portion controlled. This version stays vegetarian and uses local plant-based ingredients.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
16,Meghalaya,Weight Loss,Breakfast,Tungrymbai (No Added Salt; Weight Loss; Breakfast; Vegetarian),141,10,12,6,7,High,High,High,"sesame, soy","fermented soybeans, black sesame, chili, herbs",Vegetarian,,"Cook fermented soybeans with black sesame, chili, and local herbs. Keep the oil minimal and the portion controlled. This version stays vegetarian and uses local plant-based ingredients.",30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
17,Meghalaya,Weight Loss,Breakfast,Bamboo Tube Fish (Simple Prep; Weight Loss; Breakfast; Non-Vegetarian),196,28,7,9,3,Medium,Medium,High,fish,"fish, bamboo tube, herbs, local spices",Non-Vegetarian,fish,Cook fish in bamboo with herbs and only the needed broth. Keep the oil minimal and the portion controlled. This version uses a traditional meat or fish component from Meghalaya cuisine.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
18,Meghalaya,Weight Loss,Breakfast,Do'o Kappa (Thin Serve; Weight Loss; Breakfast; Non-Vegetarian),231,31,11,8,3,Medium,Medium,Low,,"chicken, natural potash, coriander, chili",Non-Vegetarian,chicken,"Cook chicken with natural potash, coriander, and chili. Keep the oil minimal and the portion controlled. This version uses a traditional meat or fish component from Meghalaya cuisine.",30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
19,Meghalaya,Weight Loss,Breakfast,Doh Sniang Nei-Iong (Leaf Wrapped; Weight Loss; Breakfast; Non-Vegetarian),269,24,8,17,3,Low,Low,Medium,sesame,"pork, sesame seeds, herbs",Non-Vegetarian,pork,Cook pork with sesame seeds and local herbs. Keep the oil minimal and the portion controlled. This version uses a traditional meat or fish component from Meghalaya cuisine.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
20,Meghalaya,Weight Loss,Breakfast,Dohjem (Minimal Oil; Weight Loss; Breakfast; Non-Vegetarian),241,23,9,14,3,High,Low,Medium,,"minced pork, black sesame, spices",Non-Vegetarian,pork,Cook minced pork with sesame and spices in a light gravy. Keep the oil minimal and the portion controlled. This version uses a traditional meat or fish component from Meghalaya cuisine.,30 minutes brisk walking or easy cycling,"Avoid deep-frying and keep portions controlled. This is richer than steamed rice-cake dishes, so keep the serving smaller."
21,Meghalaya,Weight Loss,Breakfast,Dohkhlieh (Portion Controlled; Weight Loss; Breakfast; Non-Vegetarian),209,26,6,12,3,Medium,Medium,High,,"boiled pork, onion, green chili, herbs",Non-Vegetarian,pork,"Boil the pork and toss it with onion, green chili, and herbs. Keep the oil minimal and the portion controlled. This version uses a traditional meat or fish component from Meghalaya cuisine.",30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
