id,state,diet_need,meal_type,dish,calories,protein_g,carbs_g,fat_g,fiber_g,glycemic_index,sodium_level,cholesterol_impact,allergens,base_ingredients,diet_type,meat_type,instructions,exercise,warning
1,Assam,Weight Loss,Breakfast,"Bhapotdiya Pitha (Light, Steamed, No Oil)",135,6,20,3,4,Medium,Low,Low,"Coconut, Sesame","rice flour, coconut, sesame",Vegetarian,,"Use a thin, lightly cooked version and avoid excess jaggery or oil. Keep the serving small and pair it with fruit or unsweetened tea.",Brisk 30-minute walk or light cycling,"Keep the portion small and skip second helpings. Contains coconut, sesame."
2,Assam,Weight Loss,Breakfast,"Bhapotdiya Pitha (Stoneground, Fresh Herb Finish)",150,6,15,6,5,Low,Low,Low,"Coconut, Sesame","rice flour, coconut, sesame",Vegetarian,,Keep the preparation light and limit oil to a minimum. Serve a controlled portion and pair it with greens or a simple salad. This works best as a light morning or between-meal plate.,Brisk 30-minute walk or light cycling,"Keep the portion small and avoid extra fried sides. Contains coconut, sesame."
3,Assam,Weight Loss,Breakfast,"Chira Doi (Stoneground, Fresh Herb Finish)",123,11,20,5,9,Low,Low,Low,Milk,"chira, banana",Vegetarian,,Keep the preparation light and limit oil to a minimum. Serve a controlled portion and pair it with greens or a simple salad. This works best as a light morning or between-meal plate.,Brisk 30-minute walk or light cycling,Keep the portion small and avoid extra fried sides. Contains milk.
4,Assam,Weight Loss,Breakfast,"Ghila Pitha (Light, Steamed, No Oil)",131,7,23,5,6,Medium,Low,Low,,"rice flour, banana, fennel",Vegetarian,,"Use a thin, lightly cooked version and avoid excess jaggery or oil. Keep the serving small and pair it with fruit or unsweetened tea.",Brisk 30-minute walk or light cycling,Keep the portion small and skip second helpings.
5,Assam,Weight Loss,Breakfast,"Ghila Pitha (Stoneground, Fresh Herb Finish)",185,6,28,7,6,Low,Low,Low,,"rice flour, banana, fennel",Vegetarian,,Keep the preparation light and limit oil to a minimum. Serve a controlled portion and pair it with greens or a simple salad. This works best as a light morning or between-meal plate.,Brisk 30-minute walk or light cycling,Keep the portion small and avoid extra fried sides.
6,Assam,Weight Loss,Breakfast,"Kholasapori Pitha (Light, Steamed, No Oil)",141,6,23,6,7,Medium,Low,Low,"Coconut, Sesame","rice flour, sesame, coconut",Vegetarian,,"Use a thin, lightly cooked version and avoid excess jaggery or oil. Keep the serving small and pair it with fruit or unsweetened tea.",Brisk 30-minute walk or light cycling,"Keep the portion small and skip second helpings. Contains coconut, sesame."
7,Assam,Weight Loss,Breakfast,"Kholasapori Pitha (Stoneground, Fresh Herb Finish)",190,10,29,4,3,Low,Low,Low,"Coconut, Sesame","rice flour, sesame, coconut",Vegetarian,,Keep the preparation light and limit oil to a minimum. Serve a controlled portion and pair it with greens or a simple salad. This works best as a light morning or between-meal plate.,Brisk 30-minute walk or light cycling,"Keep the portion small and avoid extra fried sides. Contains coconut, sesame."
8,Assam,Weight Loss,Breakfast,"Lakhimi Pitha (Light, Steamed, No Oil)",127,8,21,3,4,Medium,Low,Low,Coconut,"rice flour, banana, coconut",Vegetarian,,"Use a thin, lightly cooked version and avoid excess jaggery or oil. Keep the serving small and pair it with fruit or unsweetened tea.",Brisk 30-minute walk or light cycling,Keep the portion small and skip second helpings. Contains coconut.
9,Assam,Weight Loss,Breakfast,"Lakhimi Pitha (Stoneground, Fresh Herb Finish)",115,8,15,3,8,Low,Low,Low,Coconut,"rice flour, banana, coconut",Vegetarian,,Keep the preparation light and limit oil to a minimum. Serve a controlled portion and pair it with greens or a simple salad. This works best as a light morning or between-meal plate.,Brisk 30-minute walk or light cycling,Keep the portion small and avoid extra fried sides. Contains coconut.
10,Assam,Weight Loss,Breakfast,"Narikol Pitha (Light, Steamed, No Oil)",145,8,20,4,5,Medium,Low,Low,Coconut,"rice flour, coconut, banana",Vegetarian,,"Use a thin, lightly cooked version and avoid excess jaggery or oil. Keep the serving small and pair it with fruit or unsweetened tea.",Brisk 30-minute walk or light cycling,Keep the portion small and skip second helpings. Contains coconut.
