id,state,diet_need,meal_type,meal_name,calories,protein_g,carbs_g,fat_g,fiber_g,glycemic_index,sodium_level,cholesterol_impact,allergens,base_ingredients,diet_type,meat_type,instructions,exercise_recommendation,medical_warning
1,Kerala,Weight Loss,Breakfast,"Cherupayar Sundal (Dry-Roasted, No Oil)",235,15,37,4,9,Low,Low,Low,Mustard,"Green Gram, Coconut, Curry Leaves, Mustard Seeds",Vegetarian,,"Keep the cooking oil minimal, serve a small portion, and lean on steaming or light tempering. This version keeps the seasoning lighter while staying close to the Kerala original.",45 mins brisk walk,Watch portion size and keep extras like fried sides or extra coconut oil to a minimum.
2,Kerala,Weight Loss,Breakfast,"Dosa + Sambar (Steamed, Minimal Oil)",225,12,38,3,7,High,Low,Low,Safe,"Rice, Urad Dal, Toor Dal, Mixed Vegetables",Vegetarian,,"Keep the cooking oil minimal, serve a small portion, and lean on steaming or light tempering. This version keeps the seasoning lighter while staying close to the Kerala original.",45 mins brisk walk,Watch portion size and keep extras like fried sides or extra coconut oil to a minimum.
3,Kerala,Weight Loss,Breakfast,"Idiyappam + Cherupayar Curry (Air-Crisped, No Oil)",235,15,37,4,9,High,Low,Low,Safe,"Rice Flour, Green Gram, Coconut, Curry Leaves",Vegetarian,,"Keep the cooking oil minimal, serve a small portion, and lean on steaming or light tempering. This version keeps the seasoning lighter while staying close to the Kerala original.",45 mins brisk walk,Watch portion size and keep extras like fried sides or extra coconut oil to a minimum.
4,Kerala,Weight Loss,Breakfast,Idiyappam + Kadala Curry (Less Coconut),300,15,45,6,8,Medium,Medium,Low,Safe,"Rice Flour, Black Chickpeas",Vegetarian,,Steam idiyappam; use roasted coriander instead of coconut for curry.,45 mins cardio,Ensure adequate hydration
5,Kerala,Weight Loss,Breakfast,"Idli + Sambar (Steamed, No Oil)",235,15,37,4,9,High,Low,Low,Safe,"Rice, Urad Dal, Toor Dal, Mixed Vegetables",Vegetarian,,"Keep the cooking oil minimal, serve a small portion, and lean on steaming or light tempering. This version keeps the seasoning lighter while staying close to the Kerala original.",45 mins brisk walk,Watch portion size and keep extras like fried sides or extra coconut oil to a minimum.
6,Kerala,Weight Loss,Breakfast,"Kadala Sundal (Griddled, No Oil)",235,15,37,4,9,Low,Medium,Low,Mustard,"Black Chickpeas, Coconut, Curry Leaves, Mustard Seeds",Vegetarian,,"Keep the cooking oil minimal, serve a small portion, and lean on steaming or light tempering. This version keeps the seasoning lighter while staying close to the Kerala original.",45 mins brisk walk,Watch portion size and keep extras like fried sides or extra coconut oil to a minimum.
7,Kerala,Weight Loss,Breakfast,"Kappa Puzhukku + Kadala Curry (Boiled, Minimal Oil)",240,13,42,5,8,Low,Medium,Low,Safe,"Tapioca, Black Chickpeas, Coconut, Curry Leaves",Vegetarian,,"Keep the cooking oil minimal, serve a small portion, and lean on steaming or light tempering. This version keeps the seasoning lighter while staying close to the Kerala original.",45 mins brisk walk,Watch portion size and keep extras like fried sides or extra coconut oil to a minimum.
8,Kerala,Weight Loss,Breakfast,Oats Idli + Sambar,300,15,45,6,8,Low,Medium,Low,Safe,"Oats, Mixed Vegetables, Toor Dal",Vegetarian,,Steam idlis; load sambar with vegetables.,45 mins cardio,Ensure adequate hydration
9,Kerala,Weight Loss,Breakfast,"Pathiri + Kadala Curry (Slow-Simmered, No Oil)",225,12,38,3,7,High,Medium,Low,Safe,"Rice Flour, Black Chickpeas, Onion, Ginger, Coconut",Vegetarian,,"Keep the cooking oil minimal, serve a small portion, and lean on steaming or light tempering. This version keeps the seasoning lighter while staying close to the Kerala original.",45 mins brisk walk,Watch portion size and keep extras like fried sides or extra coconut oil to a minimum.
10,Kerala,Weight Loss,Breakfast,"Peppered Kanji + Cherupayar Curry (Lightly Cooked, No Oil)",225,12,38,3,7,High,Low,Low,Safe,"Rice, Pepper, Green Gram, Curry Leaves",Vegetarian,,"Keep the cooking oil minimal, serve a small portion, and lean on steaming or light tempering. This version keeps the seasoning lighter while staying close to the Kerala original.",45 mins brisk walk,Watch portion size and keep extras like fried sides or extra coconut oil to a minimum.
